doi	subject
44159-024-00355-4	Psychology
44161-024-00457-5	Blood–brain barrier
44161-024-00457-5	Cancer
44161-024-00457-5	Lymphangiogenesis
44161-024-00457-5	Lymphatic vessels
44160-024-00500-0	Batteries
44160-024-00500-0	Design
44160-024-00500-0	 synthesis and processing
44160-024-00498-5	Electron transfer
44160-024-00498-5	Materials chemistry
44160-024-00498-5	Photocatalysis
44160-024-00512-w	Carbohydrate chemistry
44160-024-00512-w	Stereochemistry
44160-024-00512-w	Supramolecular chemistry
44160-024-00515-7	Synthetic chemistry methodology
44160-024-00515-7	Reaction mechanisms
44160-024-00515-7	Supramolecular chemistry
44160-024-00523-7	Synthesis and processing
44160-024-00523-7	Two-dimensional materials
44185-024-00060-8	Evolution
44185-024-00060-8	Evolutionary genetics
44185-024-00060-8	Phylogenetics
44185-024-00060-8	Population genetics
44183-024-00086-2	Environmental social sciences
44183-024-00086-2	Environmental studies
44183-024-00086-2	Ocean sciences
44183-024-00086-2	Scientific community
44183-024-00086-2	Social sciences
44184-024-00090-x	Medical research
44184-024-00090-x	Prognostic markers
44183-024-00084-4	Climate-change policy
44183-024-00084-4	Environmental studies
44184-024-00086-7	Addiction
44184-024-00086-7	Human behaviour
44183-024-00082-6	Economics
44183-024-00082-6	Environmental sciences
44183-024-00082-6	Marine biology
44172-024-00187-3	Mechanical engineering
44172-024-00187-3	NEMS
44172-024-00199-z	Applied physics
44172-024-00199-z	Energy science and technology
44172-024-00229-w	Microfluidics
44172-024-00229-w	Public health
44172-024-00231-2	Fluidics
44172-024-00231-2	Mechanical engineering
44172-024-00236-x	Fluorescence imaging
44172-024-00236-x	Imaging and sensing
44183-024-00070-w	Environmental studies
44183-024-00070-w	Marine biology
44172-024-00222-3	Batteries
44172-024-00222-3	Mechanical engineering
44184-024-00077-8	Depression
44184-024-00077-8	Therapeutics
44172-024-00227-y	Electronic devices
44172-024-00227-y	Electronic properties and materials
44172-024-00234-z	Electrical and electronic engineering
44172-024-00234-z	Mechanical engineering
44172-024-00234-z	Sensors
44172-024-00234-z	Sensors and biosensors
44184-024-00075-w	ADHD
44184-024-00075-w	Attention
44168-024-00190-6	Climate-change policy
44168-024-00190-6	Environmental economics
44161-024-00459-3	
44159-024-00304-1	Human behaviour
44159-024-00304-1	Learning algorithms
44159-024-00304-1	Learning and memory
44159-024-00304-1	Psychology
44161-024-00463-7	Calcium signalling
44161-024-00463-7	Cardiovascular biology
44161-024-00463-7	Cardiovascular diseases
44161-024-00463-7	Mitochondria
44159-024-00305-0	Human behaviour
44159-024-00305-0	Psychology
44160-023-00423-2	Natural product synthesis
44160-023-00423-2	Small molecules
44160-023-00417-0	Biocatalysis
44160-023-00417-0	Biosynthesis
44183-024-00069-3	Economics
44183-024-00069-3	Environmental sciences
44183-024-00069-3	Environmental social sciences
44183-024-00069-3	Environmental studies
44183-024-00069-3	Scientific community
44183-024-00069-3	Social sciences
44184-024-00071-0	Health care
44184-024-00071-0	Risk factors
44172-024-00219-y	Biologics
44172-024-00219-y	Regenerative medicine
44172-024-00226-z	Computational nanotechnology
44172-024-00226-z	Electrical and electronic engineering
44172-024-00226-z	Electronic devices
44184-024-00074-x	Computational neuroscience
44184-024-00074-x	Machine learning
44183-024-00068-4	Conservation biology
44183-024-00068-4	Projection and prediction
44184-024-00072-z	Human behaviour
44184-024-00072-z	Psychiatric disorders
44172-024-00225-0	Information storage
44172-024-00225-0	Optical data storage
44172-024-00225-0	Optical materials and structures
44172-024-00225-0	Technology
44159-024-00297-x	Human behaviour
44159-024-00297-x	Psychology
44159-024-00297-x	Psychophysics
44159-024-00297-x	Visual system
44159-024-00283-3	Animal behaviour
44159-024-00283-3	Human behaviour
44159-024-00283-3	Intelligence
44159-024-00283-3	Psychology
44168-024-00172-8	Climate-change mitigation
44168-024-00172-8	Environmental health
44168-024-00172-8	Psychology
44184-024-00087-6	Computational models
44184-024-00087-6	Human behaviour
44184-024-00087-6	Predictive medicine
44184-024-00087-6	Psychology
44184-024-00087-6	Risk factors
44168-024-00124-2	Agriculture
44168-024-00124-2	Anthropology
44168-024-00124-2	Climate-change impacts
44168-024-00124-2	Culture
44168-024-00124-2	Developing world
44172-024-00220-5	Electrical and electronic engineering
44172-024-00220-5	Mechanical engineering
44172-024-00216-1	Geochemistry
44172-024-00216-1	Hydrology
43856-024-00585-w	Preventive medicine
43856-024-00585-w	Public health
43856-024-00578-9	Biomarkers
43856-024-00578-9	Tomography
43856-024-00583-y	Clinical microbiology
43856-024-00583-y	Microbiome
43856-024-00583-y	Urinary tract infection
43856-024-00589-6	Colorectal cancer
43856-024-00589-6	Computational biology and bioinformatics
43586-024-00312-8	Data acquisition
43586-024-00312-8	Human behaviour
43586-024-00312-8	Social sciences
43588-024-00609-4	Applied mathematics
43588-024-00609-4	Computational science
43586-024-00323-5	Materials chemistry
43586-024-00323-5	Techniques and instrumentation
43586-024-00311-9	Mass spectrometry
43586-024-00311-9	Surface chemistry
43586-024-00311-9	Surfaces
43586-024-00311-9	 interfaces and thin films
43856-024-00582-z	High-throughput screening
43856-024-00582-z	SARS-CoV-2
43856-024-00580-1	Epidemiology
43856-024-00580-1	Paediatric research
43856-024-00552-5	Haematological diseases
43856-024-00552-5	Health care
42949-024-00178-5	Ecosystem services
42949-024-00178-5	Environmental impact
43856-024-00574-z	Drug development
43856-024-00574-z	Drug discovery and development
43856-024-00572-1	Locus coeruleus
43856-024-00572-1	Sleep disorders
42949-024-00179-4	Environmental studies
42949-024-00179-4	Sustainability
43588-024-00636-1	Computational chemistry
43588-024-00636-1	Scientific data
43588-024-00636-1	Theory and computation
43588-024-00647-y	Applied mathematics
43588-024-00647-y	Biological physics
43588-024-00647-y	Computational science
43588-024-00647-y	Mechanical engineering
43588-024-00647-y	Soft materials
43586-024-00320-8	Biomaterials
43586-024-00320-8	Metal–organic frameworks
43586-024-00320-8	Chemical synthesis
43588-024-00619-2	Civil engineering
43588-024-00619-2	Computational science
43588-024-00619-2	Natural hazards
43586-024-00313-7	Mechanical engineering
43586-024-00313-7	Mechanical properties
43587-024-00597-0	Ageing
43587-024-00597-0	Senescence
43856-024-00575-y	Drug development
43856-024-00575-y	Haemodialysis
43856-024-00575-y	Recombinant protein therapy
42949-024-00174-9	Ecosystem services
42949-024-00174-9	Sociology
42949-024-00174-9	Sustainability
42949-024-00174-9	Urban ecology
42949-024-00177-6	Developing world
42949-024-00177-6	Ecosystem services
43856-024-00571-2	Chronic myeloid leukaemia
43856-024-00571-2	Virtual drug screening
43856-024-00571-2	Virtual screening
43856-024-00576-x	Cognitive neuroscience
43856-024-00576-x	Nervous system
43856-024-00576-x	Stress and resilience
42949-024-00175-8	Environmental impact
43856-024-00581-0	Health care
43856-024-00581-0	Medical research
42949-024-00176-7	Environmental impact
42949-024-00176-7	Geography
43856-024-00568-x	Diagnosis
43856-024-00568-x	Medical research
43588-024-00614-7	Condensed-matter physics
43588-024-00614-7	Ethics
43588-024-00614-7	Scientific data
43588-024-00614-7	Theory and computation
44185-024-00038-6	Ecological genetics
44185-024-00038-6	Natural variation in plants
44185-024-00038-6	Plant genetics
44183-024-00046-w	Climate sciences
44183-024-00046-w	Ecology
44183-024-00046-w	Environmental sciences
44183-024-00046-w	Geography
44183-024-00046-w	Ocean sciences
44172-024-00193-5	Electrical and electronic engineering
44172-024-00193-5	Information technology
44172-024-00193-5	Information theory and computation
44172-024-00193-5	Mechanical engineering
44172-024-00196-2	Characterization and analytical techniques
44172-024-00196-2	Mechanical engineering
44172-024-00196-2	Mechanical properties
44172-024-00196-2	Metals and alloys
44168-024-00104-6	Climate-change policy
44168-024-00104-6	Sustainability
44172-024-00200-9	Imaging and sensing
44172-024-00200-9	Information technology
44172-024-00184-6	Imaging and sensing
44172-024-00184-6	X-rays
44183-024-00049-7	Economics
44183-024-00049-7	Ocean sciences
44172-024-00191-7	Engineering
44172-024-00191-7	Optical physics
44168-024-00098-1	Climate-change mitigation
44168-024-00098-1	Environmental impact
44168-023-00097-8	Governance
44168-023-00097-8	Policy
44168-023-00097-8	Water resources
44172-024-00194-4	Biomedical engineering
44172-024-00194-4	Electrical and electronic engineering
44168-024-00102-8	Decision making
44168-024-00102-8	Developing world
44183-024-00054-w	Economics
44183-024-00054-w	Environmental social sciences
44168-023-00095-w	Climate-change policy
44168-023-00095-w	Politics
44172-024-00197-1	Electrical and electronic engineering
44172-024-00197-1	Silicon photonics
44168-023-00096-9	Communication
44168-023-00096-9	Sociology
44172-024-00180-w	Biomedical engineering
44172-024-00180-w	Mechanical engineering
44184-023-00049-4	Paediatric research
44184-023-00049-4	Psychology
44172-024-00173-9	Biomedical engineering
44172-024-00173-9	Tomography
44172-024-00169-5	Engineering
44172-024-00169-5	Structural materials
44172-024-00171-x	Fibre optics and optical communications
44172-024-00171-x	Optoelectronic devices and components
44168-023-00091-0	Climate change
44168-023-00091-0	Communication
44168-023-00091-0	Social sciences
44183-024-00043-z	Geography
44183-024-00043-z	Ocean sciences
44183-024-00043-z	Scientific community
44172-024-00179-3	Aerospace engineering
44172-024-00179-3	Computer science
44168-023-00084-z	Climate-change mitigation
44168-023-00084-z	Social sciences
44183-024-00041-1	Ecosystem services
44183-024-00041-1	Environmental impact
44183-024-00041-1	Environmental studies
44183-024-00041-1	Ocean sciences
44183-024-00041-1	Research management
44172-024-00174-8	Design
44172-024-00174-8	 synthesis and processing
44172-024-00174-8	Electrical and electronic engineering
44172-024-00174-8	Electrochemistry
44172-024-00181-9	Biological techniques
44172-024-00181-9	Imaging and sensing
44172-024-00181-9	Optical sensors
44172-024-00181-9	Scientific data
44172-024-00177-5	Biomedical materials
44172-024-00177-5	Gels and hydrogels
44172-024-00177-5	Health care
44185-023-00033-3	Ecological genetics
44185-023-00033-3	Genetic markers
44185-023-00033-3	Molecular ecology
44185-023-00033-3	Ocean sciences
44172-023-00139-3	Actuators
44172-023-00139-3	Mechanical engineering
44172-023-00139-3	Soft materials
43856-024-00562-3	CNS cancer
43856-024-00562-3	Computational neuroscience
43856-024-00562-3	Diagnostic markers
43856-024-00539-2	Biomarkers
43856-024-00539-2	Epidemiology
43856-024-00567-y	Decision
43856-024-00567-y	Public health
43856-024-00506-x	Epidemiology
43856-024-00506-x	Infectious diseases
43856-024-00549-0	Epidemiology
42949-024-00171-y	Civil engineering
42949-024-00171-y	Developing world
43856-024-00537-4	Lifestyle modification
43856-024-00537-4	Public health
43856-024-00525-8	Immunology
43856-024-00525-8	Tumour immunology
43856-024-00563-2	Diseases
43856-024-00563-2	Epidemiology
43856-024-00563-2	Public health
42949-024-00167-8	Environmental studies
42949-024-00167-8	Geography
43856-024-00647-z	Genetic testing
43856-024-00647-z	Predictive markers
43856-024-00629-1	Drug development
43856-024-00629-1	Randomized controlled trials
42949-024-00165-w	Environmental impact
42949-024-00165-w	Urban ecology
43856-024-00557-0	Epidemiology
43856-024-00557-0	Preventive medicine
43856-024-00531-w	Biomarkers
43856-024-00531-w	Diagnostic markers
43856-024-00531-w	Health care
43856-024-00543-6	Epidemiology
43856-024-00543-6	Paediatric research
43856-024-00543-6	Public health
43856-024-00543-6	Viral infection
43856-024-00546-3	Multiple sclerosis
43856-024-00553-4	HIV infections
43856-024-00553-4	PCR-based techniques
43856-024-00553-4	Retrovirus
43856-024-00558-z	Alzheimer's disease
43856-024-00558-z	Dementia
43856-024-00558-z	Diagnostic markers
43588-024-00599-3	Climate sciences
43588-024-00599-3	Computational science
43588-024-00599-3	Environmental sciences
43588-024-00604-9	Computational science
43588-024-00604-9	Geography
43586-024-00307-5	Condensed-matter physics
43586-024-00307-5	Design
43586-024-00307-5	 synthesis and processing
43586-024-00307-5	Materials chemistry
43586-023-00278-z	Design
43586-023-00278-z	 synthesis and processing
43586-023-00278-z	Mechanical engineering
43586-023-00278-z	Synthesis and processing
43588-023-00578-0	Information theory and computation
43588-023-00578-0	Quantum physics
43856-024-00547-2	Biophysics
43856-024-00547-2	Motivation
43856-024-00547-2	Motor control
43856-024-00547-2	Neurological disorders
43856-024-00547-2	Social neuroscience
43856-024-00530-x	Cardiovascular diseases
43856-024-00530-x	Heritable quantitative trait
43856-024-00535-6	Computational biology and bioinformatics
43856-024-00535-6	Medical research
43856-024-00542-7	Prognostic markers
43856-024-00542-7	Sepsis
43856-024-00519-6	Biomarkers
43856-024-00519-6	Public health
43856-024-00545-4	Preterm birth
43856-024-00545-4	Public health
43856-024-00493-z	Disease prevention
43856-024-00493-z	Public health
43856-023-00408-4	Cardiovascular biology
43856-023-00408-4	Haematological cancer
43246-023-00423-x	Electronic devices
43246-023-00423-x	Magnetic devices
43246-023-00423-x	Spintronics
43247-023-01168-8	Climate and Earth system modelling
43247-023-01168-8	Climate-change mitigation
43247-023-01168-8	Projection and prediction
43246-023-00439-3	Carbon nanotubes and fullerenes
43246-023-00439-3	Electronic and spintronic devices
43246-023-00439-3	Quantum information
43018-024-00753-w	Cancer
43018-024-00753-w	Tumour immunology
43016-024-01014-w	Agriculture
43016-024-01014-w	Climate-change impacts
43016-024-01014-w	Climate-change policy
43018-024-00796-z	Cancer microenvironment
43018-024-00796-z	Tumour immunology
43018-024-00796-z	Tumour-suppressor proteins
43017-024-00569-3	Carbon cycle
43017-024-00569-3	Ecosystem ecology
43016-023-00903-w	Ecosystem services
43016-023-00903-w	Environmental sciences
43018-024-00724-1	Cancer
43018-024-00724-1	Immunotherapy
43018-024-00724-1	Oral cancer
43018-024-00724-1	Tumour immunology
43018-023-00719-4	
43016-023-00894-8	Environmental sciences
43016-023-00894-8	Environmental social sciences
43018-023-00693-x	Cancer genomics
43018-023-00693-x	Urological cancer
43018-023-00700-1	Drug development
43018-023-00700-1	Preclinical research
43018-023-00698-6	Machine learning
43018-023-00698-6	Pancreatic cancer
43018-023-00698-6	Predictive markers
43018-023-00698-6	Prognostic markers
43016-023-00897-5	Climate-change mitigation
43016-023-00897-5	Sustainability
43016-024-00919-w	Environmental impact
43016-024-00919-w	Sustainability
43016-023-00909-4	Abiotic
43016-023-00909-4	Element cycles
43016-023-00911-w	Agriculture
43016-023-00911-w	Climate-change adaptation
43016-023-00911-w	Environmental impact
43016-023-00911-w	Sustainability
43018-023-00654-4	Acute myeloid leukaemia
43018-023-00654-4	Drug development
43016-023-00914-7	Agriculture
43016-023-00914-7	Science
43016-023-00914-7	 technology and society
43247-024-01659-2	Seismology
43247-024-01659-2	Volcanology
43246-024-00624-y	Metal–organic frameworks
43246-024-00624-y	Organic–inorganic nanostructures
43246-024-00631-z	Condensed-matter physics
43246-024-00631-z	Theory and computation
43247-024-01678-z	Climate-change mitigation
43247-024-01678-z	Forestry
43247-024-01661-8	Environmental studies
43247-024-01661-8	Projection and prediction
43247-024-01669-0	Environmental economics
43247-024-01669-0	Environmental studies
43247-024-01581-7	Geodynamics
43247-024-01581-7	Tectonics
43247-024-01581-7	Volcanology
43247-024-01664-5	Climate-change ecology
43247-024-01664-5	Climate-change impacts
43247-024-01664-5	Grassland ecology
43247-024-01615-0	Ecology
43247-024-01615-0	Environmental microbiology
43247-024-01615-0	Marine biology
43247-024-01615-0	Palaeoecology
43247-024-01615-0	Seismology
43246-024-00625-x	Electronic and spintronic devices
43246-024-00625-x	Electronic devices
43247-024-01667-2	Developing world
43247-024-01667-2	Energy supply and demand
43247-024-01667-2	Environmental studies
43246-024-00632-y	Electronic devices
43246-024-00632-y	Two-dimensional materials
43247-024-01854-1	Climate-change adaptation
43247-024-01854-1	Climate-change impacts
43247-024-01854-1	Governance
43247-024-01854-1	Projection and prediction
43247-024-01783-z	Atmospheric dynamics
43247-024-01783-z	Cryospheric science
43247-024-01783-z	Physical oceanography
43247-024-01859-w	Ecosystem ecology
43247-024-01859-w	Element cycles
43247-024-01859-w	Geochemistry
43247-024-01859-w	Hydrology
43247-024-01743-7	Environmental impact
43247-024-01743-7	Projection and prediction
43247-024-01838-1	Carbon cycle
43247-024-01838-1	Climate and Earth system modelling
43247-024-01838-1	Cryospheric science
43247-024-01833-6	Geodynamics
43247-024-01833-6	Tectonics
43247-024-01852-3	Geochemistry
43247-024-01852-3	Hydrogeology
43247-024-01852-3	Natural hazards
43247-024-01852-3	Seismology
43247-024-01848-z	Governance
43247-024-01848-z	Natural hazards
43247-024-01831-8	Anthropology
43247-024-01831-8	Biogeochemistry
43247-024-01831-8	Palaeoclimate
43247-024-01831-8	Palaeoecology
43247-024-01839-0	Natural hazards
43247-024-01839-0	Seismology
43247-024-01839-0	Structural geology
43247-024-01839-0	Tectonics
43247-024-01867-w	Climate and Earth system modelling
43247-024-01867-w	Projection and prediction
43247-024-01850-5	Developing world
43247-024-01850-5	Energy management
43247-024-01850-5	Energy supply and demand
43247-024-01850-5	Environmental studies
43247-024-01846-1	Climate change
43247-024-01846-1	Environmental impact
43247-024-01775-z	Attribution
43247-024-01775-z	Climate-change mitigation
43247-024-01775-z	Environmental studies
43247-024-01775-z	Governance
43247-024-01853-2	Climate-change ecology
43247-024-01853-2	Climate-change impacts
43247-024-01853-2	Community ecology
43247-024-01853-2	Natural hazards
43246-024-00689-9	Electronic properties and materials
43246-024-00689-9	Magnetic properties and materials
43247-024-01837-2	Geochemistry
43247-024-01837-2	Inner planets
43247-024-01837-2	Mineralogy
43246-024-00682-2	Magnetic properties and materials
43246-024-00682-2	Spintronics
43247-024-01832-7	Carbon cycle
43247-024-01832-7	Element cycles
43247-024-01856-z	Carbon cycle
43247-024-01856-z	Palaeoceanography
43247-024-01557-7	Geography
43247-024-01557-7	Projection and prediction
43016-024-01036-4	Environmental studies
43016-024-01036-4	Sustainability
43018-024-00766-5	Cancer
43018-024-00766-5	Cancer immunotherapy
43018-024-00766-5	Gastrointestinal cancer
43018-024-00766-5	Neuroendocrine cancer
43018-024-00804-2	Biomarkers
43018-024-00804-2	Tumour immunology
43018-024-00795-0	Breast cancer
43018-024-00795-0	Cancer imaging
43018-024-00795-0	Machine learning
43016-024-01019-5	Climate-change impacts
43016-024-01019-5	Hydrology
43018-024-00791-4	Acute myeloid leukaemia
43018-024-00791-4	Cancer
43018-024-00791-4	Targeted therapies
43016-024-01026-6	Funding
43016-024-01026-6	Risk factors
43016-024-01026-6	Scientific community
43247-024-01835-4	Climate-change mitigation
43247-024-01835-4	Physical oceanography
43247-024-01819-4	Atmospheric dynamics
43247-024-01819-4	Projection and prediction
43247-024-01829-2	Ecological modelling
43247-024-01829-2	Ecosystem ecology
43247-024-01829-2	Environmental sciences
44159-024-00376-z	Human behaviour
44159-024-00376-z	Psychology
44161-024-00431-1	Differentiation
44161-024-00431-1	Embryonic stem cells
44160-024-00484-x	Stereochemistry
44160-024-00484-x	Synthesis of graphene
44161-024-00432-0	Cardiac hypertrophy
44161-024-00432-0	Cardiovascular biology
44161-024-00432-0	T cells
44172-024-00304-2	Batteries
44172-024-00304-2	Energy storage
44161-024-00428-w	Cardiac regeneration
44161-024-00428-w	Cell division
44161-024-00428-w	Innate immunity
44161-024-00428-w	Stem-cell niche
44161-023-00418-4	Drug discovery
44161-023-00418-4	Pharmaceutics
44159-024-00338-5	Interdisciplinary studies
44159-024-00338-5	Psychology
44184-024-00100-y	Alzheimer's disease
44184-024-00100-y	Anxiety
44184-024-00100-y	Dementia
44184-024-00100-y	Depression
44159-024-00340-x	Decision making
44159-024-00340-x	Human behaviour
44159-024-00340-x	Psychology
44172-024-00307-z	Physiology
44172-024-00307-z	Wide-field fluorescence microscopy
44161-024-00476-2	
44222-024-00233-x	Electronic devices
44222-024-00233-x	Environmental biotechnology
44160-024-00503-x	Batteries
44160-024-00503-x	Electrocatalysis
44160-024-00620-7	Nanoparticles
44160-024-00620-7	Quantum dots
44222-024-00251-9	Biomaterials
44222-024-00251-9	Tissue engineering
44160-023-00480-7	Electrocatalysis
44160-023-00480-7	Synthetic chemistry methodology
44160-023-00480-7	Photocatalysis
44160-023-00480-7	Sustainability
44160-023-00479-0	Computational methods
44160-023-00479-0	Design
44160-023-00479-0	 synthesis and processing
44161-023-00412-w	Atherosclerosis
44161-023-00412-w	Molecular medicine
44160-023-00467-4	Coordination chemistry
44160-023-00467-4	Inorganic chemistry
44172-024-00315-z	Electrical and electronic engineering
44172-024-00315-z	Sensors and biosensors
44161-023-00405-9	Atherosclerosis
44161-023-00405-9	Cardiovascular diseases
44161-023-00405-9	Vascular diseases
44159-024-00337-6	Culture
44159-024-00337-6	Human behaviour
44159-024-00337-6	Psychology
44160-023-00462-9	Polymer synthesis
44160-023-00462-9	Polymerization mechanisms
44172-024-00318-w	Characterization and analytical techniques
44172-024-00318-w	Mechanical engineering
44172-024-00320-2	Confocal microscopy
44172-024-00320-2	Imaging and sensing
44172-024-00320-2	Multiphoton microscopy
44160-023-00458-5	Coordination chemistry
44160-023-00458-5	Photocatalysis
44160-023-00465-6	Homogeneous catalysis
44160-023-00465-6	Synthetic chemistry methodology
44160-023-00465-6	Photocatalysis
44160-023-00465-6	Sustainability
44172-024-00297-y	Computational science
44172-024-00297-y	Diseases
44172-024-00297-y	Microbiology
44159-024-00335-8	Object vision
44159-024-00335-8	Perception
44159-024-00335-8	Psychology
44159-024-00335-8	Sensory processing
44306-024-00027-2	Nanoscience and technology
44306-024-00027-2	Physics
44298-024-00034-4	Viral host response
44298-024-00034-4	Viral pathogenesis
44298-024-00034-4	Virology
44298-024-00034-4	Virus–host interactions
44298-024-00034-4	West nile virus
44296-024-00028-6	Biochemistry
44296-024-00028-6	Chemistry
44296-024-00028-6	Energy science and technology
44259-024-00036-5	Antimicrobial resistance
44259-024-00036-5	Archaeal biology
44306-024-00049-w	Magnetic properties and materials
44306-024-00049-w	Spintronics
44271-024-00119-z	Cognitive neuroscience
44271-024-00119-z	Human behaviour
44271-024-00119-z	Visual system
44303-024-00029-z	Biochemistry
44303-024-00029-z	Chemical biology
44303-024-00029-z	Health care
44303-024-00029-z	Medical imaging
44271-024-00117-1	Cultural and media studies
44271-024-00117-1	Human behaviour
44271-024-00117-1	Language and linguistics
44271-024-00117-1	Psychology
44306-024-00042-3	Condensed-matter physics
44306-024-00042-3	Spintronics
44277-024-00013-w	Predictive markers
44277-024-00013-w	Psychiatric disorders
44298-024-00047-z	Epidemiology
44298-024-00047-z	Viral epidemiology
44298-024-00047-z	Viral evolution
44324-024-00019-0	Metabolic diseases
44324-024-00019-0	Pre-diabetes
44306-024-00045-0	Ferromagnetism
44306-024-00045-0	Spintronics
44306-024-00045-0	Topological matter
44306-024-00040-5	Materials science
44306-024-00040-5	Physics
44298-024-00040-6	Genetics
44298-024-00040-6	Viral evolution
44298-024-00040-6	Virology
44303-024-00028-0	Imaging
44303-024-00028-0	Imaging the immune system
44303-024-00028-0	Immunology
44303-024-00028-0	Microscopy
44303-024-00028-0	Sensors and probes
44222-023-00148-z	Biomaterials
44222-023-00148-z	Biomaterials – cells
44222-023-00148-z	Biomedical engineering
44222-023-00148-z	Biomedical materials
44222-023-00148-z	Gels and hydrogels
44276-024-00073-7	
44259-024-00038-3	Antimicrobial resistance
44259-024-00038-3	Bacterial genes
44259-024-00038-3	Bacterial infection
44259-024-00038-3	Computational biology and bioinformatics
44259-024-00038-3	Gastroenteritis
44296-024-00032-w	Civil engineering
44296-024-00032-w	Structural materials
44306-024-00048-x	Magnetic properties and materials
44306-024-00048-x	Spintronics
44222-024-00168-3	Biomedical engineering
44222-024-00168-3	Translational research
44222-024-00159-4	Biochemical assays
44222-024-00159-4	Targeted gene repair
44222-024-00160-x	Diagnostics
44222-024-00160-x	Drug regulation
44222-024-00160-x	Toxicology
44221-024-00244-3	Business and management
44221-024-00244-3	Nanoscale materials
44221-024-00244-3	Water resources
44222-024-00194-1	Biomarkers
44222-024-00194-1	Biotechnology
44222-024-00194-1	Health care
44303-024-00050-2	Imaging techniques
44303-024-00050-2	Magnetic resonance imaging
44303-024-00050-2	Molecular imaging
44303-024-00050-2	NMR spectroscopy
44222-024-00184-3	Biomedical engineering
44222-024-00184-3	Tissue engineering
44222-024-00184-3	Tissues
44222-024-00167-4	Biomedical materials
44222-024-00167-4	Translational research
44271-024-00104-6	Developmental biology
44271-024-00104-6	Human behaviour
44306-024-00039-y	Magnetic devices
44306-024-00039-y	Magnetic properties and materials
44306-024-00041-4	Electronic properties and materials
44306-024-00041-4	Spintronics
44160-024-00660-z	Nanoparticles
44160-024-00660-z	Synthesis and processing
44160-024-00660-z	Two-dimensional materials
43587-024-00764-3	Ageing
43587-024-00764-3	Liver fibrosis
43587-024-00764-3	Senescence
43588-024-00712-6	Environmental impact
43588-024-00712-6	Sustainability
43587-024-00744-7	Ageing
43587-024-00744-7	Metabolism
43587-024-00736-7	Ageing
43587-024-00736-7	Preventive medicine
43587-024-00736-7	Public health
43586-024-00295-6	Lab life
43586-024-00300-y	Lab life
43586-024-00296-5	Lab life
43856-024-00723-4	Calcium and phosphate metabolic disorders
43856-024-00723-4	Diagnostic markers
43856-024-00723-4	Metabolomics
43586-024-00351-1	Lab life
44160-024-00657-8	Electronic devices
44160-024-00657-8	Synthesis and processing
44160-024-00657-8	Two-dimensional materials
43587-024-00697-x	Ageing
43587-024-00697-x	Germline development
43587-024-00697-x	Reproductive disorders
43587-024-00697-x	Senescence
43587-024-00732-x	Ageing
43587-024-00732-x	Alzheimer's disease
43587-024-00732-x	Cognitive ageing
43587-024-00779-w	DNA recombination
43587-024-00779-w	Senescence
43586-024-00292-9	Lab life
43586-024-00290-x	Lab life
44160-024-00665-8	Conjugated polymers
44160-024-00665-8	Electronic properties and materials
44160-024-00665-8	Scanning probe microscopy
43586-023-00289-w	Lab life
44160-024-00656-9	Synthetic chemistry methodology
44160-024-00656-9	Photocatalysis
43588-024-00698-1	Computational models
43588-024-00698-1	Gene expression
43588-024-00698-1	Machine learning
44159-024-00394-x	Human behaviour
44159-024-00394-x	Psychology
44159-024-00394-x	Stress and resilience
43588-024-00715-3	Computational chemistry
43588-024-00715-3	Excited states
43588-024-00715-3	Materials for optics
43588-024-00715-3	Photochemistry
43856-024-00693-7	Antimicrobial resistance
43856-024-00693-7	Bacterial infection
44160-024-00661-y	Catalysis
44160-024-00661-y	Organometallic chemistry
44159-024-00388-9	Communication
44159-024-00388-9	Human behaviour
44159-024-00388-9	Psychology
44160-024-00644-z	Photocatalysis
43586-024-00368-6	Computational neuroscience
43586-024-00368-6	Neuroscience
43586-024-00368-6	Perception
44160-024-00693-4	Synthetic chemistry methodology
44160-024-00693-4	Photocatalysis
44160-024-00693-4	Sustainability
43588-024-00742-0	Data processing
43588-024-00742-0	DNA
44160-024-00688-1	Electronic devices
44160-024-00688-1	Process chemistry
44160-024-00662-x	Chemical engineering
44160-024-00662-x	Electrocatalysis
43588-024-00685-6	Computational science
43588-024-00685-6	Human behaviour
43588-024-00685-6	Social behaviour
44184-024-00078-7	Disease prevention
44184-024-00078-7	Public health
44184-024-00078-7	Quality of life
44184-024-00078-7	Risk factors
44159-024-00365-2	Human behaviour
44159-024-00365-2	Psychology
44161-024-00434-y	
44161-024-00437-9	Atrial fibrillation
44161-024-00437-9	Heart failure
44161-024-00435-x	
44185-024-00072-4	Ecology
44185-024-00072-4	Environmental social sciences
44185-024-00072-4	Geography
44185-024-00072-4	Scientific community
44185-024-00072-4	Social sciences
44159-024-00374-1	Cognitive control
44159-024-00374-1	Human behaviour
44159-024-00374-1	Psychology
44222-024-00250-w	Antibiotics
44222-024-00250-w	Antimicrobial resistance
44222-024-00250-w	Drug discovery
44159-024-00362-5	Interdisciplinary studies
44159-024-00362-5	Psychiatric disorders
44159-024-00362-5	Psychology
44159-024-00362-5	Stress and resilience
44160-024-00592-8	Synthetic chemistry methodology
44160-024-00592-8	Natural product synthesis
44161-024-00519-8	
44160-024-00583-9	Synthetic chemistry methodology
44160-024-00583-9	Reaction mechanisms
44160-024-00583-9	Stereochemistry
44160-024-00602-9	Biosynthesis
