doi	subject
nrmicro2784	Inflammation
nrmicro2784	Pathogens
nrmicro2791	Bacteria
nrmicro2791	Bacterial transcription
nrmicro2791	Cellular microbiology
nrmicro2791	Riboswitches
nrmicro2829	Antimicrobial resistance
nrmicro2829	Antiparasitic agents
nrmicro2829	Antiviral agents
nrmicro2829	Bacteria
nrmicro2829	Pathogens
nrmicro2829	Virology
nrmicro2774	Parasite development
nrmicro2774	Parasite physiology
nrmicro2774	Parasitology
nrmicro2774	Pathogens
nrmicro2765	Antimicrobial resistance
nrmicro2765	Antimicrobials
nrmicro2765	Bacteria
nrmicro2765	Molecular biology
nrmicro2767	Bacteria
nrmicro2767	Bacterial host response
nrmicro2767	Bacterial immune evasion
nrmicro2767	Immunology
nrmicro2767	Post-translational modifications
nrmicro2847	Antimicrobial resistance
nrmicro2847	Antimicrobials
nrmicro2847	Malaria
nrmicro2847	Parasite genomics
nrmicro2847	Parasitology
cmi201250	
nrmicro2840	Cytoskeleton
nrmicro2840	Fungal infection
nrmicro2840	Fungal pathogenesis
nrmicro2840	Fungi
nrmicro2840	Pathogens
cmi201239	
vital1612	Publishing
vital1620	Arts
vital1586	Scientific community
vital1590	Conferences and meetings
vital1592	Health services
vital1594	Business
vital1594	Health occupations
ncomms1771	Condensed-matter physics
ncomms1771	Nanoscale materials
ncomms1775	Theoretical chemistry
ncomms1783	Alzheimer's disease
ncomms1783	Pathogenesis
ncomms1754	Endosomes
ncomms1754	Inflammasome
ncomms1754	Phagocytosis
ncomms1756	Disease genetics
ncomms1756	Kidney diseases
ncomms1760	Enzyme mechanisms
ncomms1760	Kinesin
ncomms1762	Mode-locked lasers
ncomms1762	Nonlinear optics
ncomms1762	Ultrafast lasers
ncomms1764	Ichthyology
ncomms1764	Palaeontology
ncomms1764	Phylogenetics
ncomms1768	Bacteria
ncomms1768	Photocatalysis
ncomms1772	Electrochemistry
ncomms1772	Solar cells
ncomms1780	Animal behaviour
ncomms1780	Feeding behaviour
ncomms1780	Sensory systems
ncomms1778	Condensed-matter physics
ncomms1778	Ferroelectrics and multiferroics
nclimate1634	Climate-change ecology
nclimate1634	Drought
nclimate1634	Grassland ecology
nclimate1633	Climate change
nclimate1633	Hydrology
ncomms1852	Brain injuries
ncomms1852	Diseases of the nervous system
ncomms1852	RNAi
ncomms1847	Applied physics
ncomms1847	Mathematics and computing
ncomms1861	Cell signalling
ncomms1861	Cellular motility
ncomms1861	Developmental biology
ncomms1859	Breast cancer
ncomms1859	Pharmacodynamics
ncomms1732	Drought
ncomms1732	Transcription
ncomms1703	Ligand-gated ion channels
ncomms1703	Neurotransmitters
ncomms1703	Structural biology
ncomms1742	Electrophysiology
ncomms1742	Membrane biophysics
ncomms1744	Biophysics
ncomms1744	Molecular neuroscience
ncomms1744	Synaptic transmission
ncomms1721	Design
ncomms1721	 synthesis and processing
ncomms1721	Electronic devices
ncomms1689	Magnetic properties and materials
ncomms1689	Organic chemistry
ncomms1689	Polymers
ncomms1727	Cancer genetics
ncomms1727	Cancer therapeutic resistance
ncomms1727	Melanoma
ncomms1733	Imaging and sensing
ncomms1697	HIV infections
ncomms1697	Medical research
ncomms1697	T cells
ncomms1697	Virus–host interactions
ncomms1735	Calcium channels
ncomms1735	Lysosomes
ncomms1735	Metabolic disorders
ncomms1737	Electronic devices
ncomms1737	Materials science
ncomms1741	Biomaterials
ncomms1741	Materials for energy and catalysis
ncomms1704	Gene regulation
ncomms1704	Megakaryocytes
ncomms1704	Mitosis
ncomms1704	Polyploidy
nrgastro.2012.78	Dyspepsia
nrgastro.2012.78	Epidemiology
nrgastro.2012.82	Drug therapy
nrgastro.2012.82	Gastro-oesophageal reflux disease
nmeth.1997	Library construction
nmeth.1997	Soft lithography
nrgastro.2012.84	Combination drug therapy
nrgastro.2012.84	Hepatitis C
nmeth.1999	Cell culture
nmeth.1999	Glycosylation
nmeth.1999	Molecular engineering
nrclinonc.2012.155	Breast cancer
nrclinonc.2012.155	Chemotherapy
nrclinonc.2012.155	Combination drug therapy
nrclinonc.2012.155	Pharmacokinetics
nrurol.2012.60	Bladder cancer
nrurol.2012.60	Mechanisms of disease
nrurol.2012.60	Metastasis
nrclinonc.2012.66	Cancer epidemiology
nrclinonc.2012.66	Cardiovascular diseases
nrclinonc.2012.66	Diagnosis
nrurol.2012.182	Sexual behaviour
nrurol.2012.182	Sexual dysfunction
nrurol.2012.182	Therapeutics
nrclinonc.2012.70	Ovarian cancer
nrclinonc.2012.70	Targeted therapies
nmeth.1939	Cell culture
nmeth.1939	Induced pluripotent stem cells
nmeth.1939	Reprogramming
nmeth.1939	Stem-cell differentiation
nrclinonc.2012.68	Combination drug therapy
nrclinonc.2012.68	Melanoma
nrclinonc.2012.68	Targeted therapies
nmeth.2000	Nuclear envelope
nmeth.2000	Scanning electron microscopy
nrurol.2012.70	Bisphosphonates
nrurol.2012.70	Prostate cancer
nrgastro.2012.71	Implants
nrgastro.2012.71	Oesophageal diseases
nrgastro.2012.71	Therapeutics
nmeth.2002	Cellular imaging
nmeth.2002	Super-resolution microscopy
nrclinonc.2012.80	Cancer epidemiology
nrclinonc.2012.80	Cancer therapy
nrclinonc.2012.80	Clinical pharmacology
nrclinonc.2012.80	Urological cancer
nrgastro.2012.81	Diagnosis
nrgastro.2012.81	Pancreatitis
nrcardio.2012.130	Coronary artery disease and stable angina
nrcardio.2012.130	Pain
nrcardio.2012.130	Radiography
nrurol.2012.82	Hypoxia
nrurol.2012.82	Prostate cancer
nrurol.2012.82	Radiotherapy
nrgastro.2012.83	Colon cancer
nrgastro.2012.83	Combination drug therapy
nrgastro.2012.83	Disease-free survival
nmeth.1998	Sensors and probes
nrurol.2012.88	Prognosis
nrurol.2012.88	Urogenital diseases
nrgastro.2012.89	Inflammation
nrgastro.2012.89	Irritable bowel syndrome
nrgastro.2012.89	Pathogenesis
nrclinonc.2012.65	Cancer genomics
nrclinonc.2012.65	Lung cancer
nrclinonc.2012.65	Mutation
nrclinonc.2012.65	Targeted therapies
nrclinonc.2012.67	Cancer immunotherapy
nrclinonc.2012.67	Combination drug therapy
nrclinonc.2012.67	Sarcoma
nrclinonc.2012.69	Chemotherapy
nrclinonc.2012.69	Hodgkin lymphoma
nrclinonc.2012.73	Cancer epidemiology
nrclinonc.2012.73	Cancer genomics
nrclinonc.2012.73	Neurological disorders
nrgastro.2012.70	Endoscopy
nrgastro.2012.70	Oesophageal diseases
nmeth.2001	Chemical genetics
nmeth.2001	Fluorescent proteins
nmeth.2001	Molecular engineering
nrurol.2012.67	Combination drug therapy
nrurol.2012.67	Prostatic diseases
nrgastro.2012.68	Colorectal cancer
nrgastro.2012.68	Diagnosis
nrgastro.2012.68	Medical imaging
nrgastro.2012.72	Motility disorders
nrgastro.2012.72	Parkinson's disease
nrgastro.2012.72	Therapeutics
nrclinonc.2012.77	B-cell lymphoma
nrclinonc.2012.77	Chemotherapy
nrclinonc.2012.79	Cancer epidemiology
nrclinonc.2012.79	Chemotherapy
nrclinonc.2012.79	Ovarian cancer
nrurol.2012.75	Adverse effects
nrurol.2012.75	Combination drug therapy
nrurol.2012.75	Prostate cancer
nrgastro.2012.80	Cholestasis
nrgastro.2012.80	Diagnostic markers
nrgastro.2012.80	Therapeutics
nphoton.2012.250	Magneto-optics
nphoton.2012.232	Biophotonics
nphoton.2012.232	Imaging and sensing
nphoton.2012.232	Optical manipulation and tweezers
nphoton.2011.355	Biophotonics
nphoton.2011.355	Imaging and sensing
nphoton.2012.296	
mi2012101	HIV infections
mi2012101	Immunopathogenesis
mi2012101	Mucosal immunology
mi2012101	NKT cells
nphoton.2012.2	Nanocavities
nphoton.2012.2	Optical data storage
nphoton.2011.356	Solar energy and photovoltaic technology
nphoton.2012.259	Quantum information
nphoton.2012.259	Quantum optics
nphoton.2012.246	Free-electron lasers
nphoton.2012.246	X-rays
nphoton.2012.260	Biophotonics
mi2012124	Inflammation
mi2012124	Inflammatory bowel disease
mi2012124	Mucosal immunology
mi2012124	Signal transduction
mi2012128	Adaptive immunity
mi2012128	Fungal host response
mi2012128	Fungal infection
mi2012128	T-helper 17 cells
mi2012131	Alveolar macrophages
mi2012131	Parasite host response
mi2012131	Parasitic infection
mi2012131	Tuberculosis
nphoton.2011.322	Nanophotonics and plasmonics
nphoton.2011.322	Quantum cascade lasers
nphoton.2011.322	Terahertz optics
nphoton.2012.245	Imaging and sensing
nphoton.2012.245	Optical physics
nphoton.2012.245	Optoelectronic devices and components
nphoton.2012.217	Lasers
nphoton.2012.217	 LEDs and light sources
nphoton.2012.217	Silicon photonics
nphoton.2012.251	Atomic and molecular physics
nphoton.2012.251	Lasers
nphoton.2012.251	 LEDs and light sources
nphoton.2012.249	Imaging and sensing
nphoton.2012.253	Fibre optics and optical communications
nphoton.2012.253	Optical data storage
nphoton.2012.255	Optoelectronic devices and components
nphoton.2012.255	Photocatalysis
nphoton.2012.257	Biophotonics
nphoton.2012.257	Imaging and sensing
nphoton.2012.257	Respiratory tract diseases
nphoton.2012.248	Silicon photonics
nphoton.2012.252	Adaptive optics
nphoton.2012.252	Optical metrology
nphoton.2012.254	Optical materials and structures
nphoton.2012.254	Spintronics
nphoton.2012.256	Optical manipulation and tweezers
nphoton.2012.239	Atom optics
nphoton.2012.238	Optical techniques
nphoton.2012.238	Spintronics
nphoton.2012.77	Fibre optics and optical communications
nphoton.2012.77	Lasers
nphoton.2012.77	 LEDs and light sources
nphoton.2012.228	Imaging and sensing
nphoton.2012.188	Biophotonics
nphoton.2012.188	Imaging and sensing
nphoton.2012.221	Fibre optics and optical communications
nphoton.2012.221	Mid-infrared photonics
nphoton.2012.221	Nonlinear optics
nphoton.2012.221	Silicon photonics
nphoton.2012.182	Fibre optics and optical communications
nrmicro2865	Bacteria
nrmicro2865	Bacterial evolution
nrmicro2865	DNA recombination
nrmicro2865	Evolution
nrurol.2012.247	Prostatic diseases
nrurol.2012.247	Quality of life
nrurol.2012.244	Hepatitis C
nrurol.2012.244	Pharmacokinetics
nrgastro.2012.249	Epidemiology
nrgastro.2012.249	Gastrointestinal diseases
nmeth.2288	Gene expression analysis
nmeth.2288	Long non-coding RNAs
nmeth.2288	RNA metabolism
nmeth.2288	RNA sequencing
nmeth.2306	Databases
nmeth.2306	DNA probes
nmeth.2306	Fluorescence in situ hybridization
nmeth.2306	PCR-based techniques
nmeth.2301	Cell invasion
nmeth.2301	Experimental organisms
nmeth.2301	Gene expression analysis
nmeth.2305	Gene expression analysis
nmeth.2305	Imaging
nrurol.2012.226	Chemoprevention
nrurol.2012.226	Urogenital diseases
nrclinonc.2012.230	Cancer genomics
nrclinonc.2012.230	Chemotherapy
nrclinonc.2012.230	Clinical pharmacology
nrclinonc.2012.230	Inflammasome
nrgastro.2012.251	Barrett oesophagus
nrgastro.2012.251	Cancer
nrgastro.2012.251	Drug therapy
nrurol.2012.249	Prostate cancer
nrurol.2012.249	Surgical oncology
nrcardio.2012.188	Interventional cardiology
nrcardio.2012.188	Vascular diseases
nrcardio.2012.192	Drug therapy
nrcardio.2012.192	Heart failure
nrcardio.2012.192	Pharmacokinetics
nrclinonc.2012.231	Cancer screening
nrclinonc.2012.231	Genetic testing
nrclinonc.2012.231	Human papilloma virus
nrgastro.2012.250	Diagnosis
nrgastro.2012.250	Gastritis
nrgastro.2012.250	Inflammatory bowel disease
nrgastro.2012.250	Paediatrics
nrclinonc.2012.229	Cancer genomics
nrclinonc.2012.229	Cancer in the nervous system
nrclinonc.2012.229	Chromatin remodelling
nrclinonc.2012.233	Cancer genomics
nrclinonc.2012.233	Chemotherapy
nrclinonc.2012.233	Non-small-cell lung cancer
nrclinonc.2012.233	Targeted therapies
nrcardio.2012.187	Atrial fibrillation
nrcardio.2012.187	Drug safety
nrcardio.2012.187	Drug therapy
nrcardio.2012.187	Heart failure
nrgastro.2012.187-c2	Diagnosis
nrgastro.2012.187-c2	Viral hepatitis
nrclinonc.2012.127-c1	Cancer microenvironment
nrclinonc.2012.127-c1	Cancer therapeutic resistance
nrclinonc.2012.127-c1	Clinical pharmacology
nrclinonc.2012.127-c1	Personalized medicine
nrcardio.2012.186	Drug therapy
nrcardio.2012.186	Heart failure
nrcardio.2012.186	Pharmacokinetics
nrcardio.2012.186	Physiology
nrclinonc.2012.235	Breast cancer
nrclinonc.2012.235	Cancer imaging
nrclinonc.2012.235	Surgery
nrclinonc.2012.235	Ultrasound
nrurol.2012.248	Clinical pharmacology
nrurol.2012.248	Diagnostic markers
nrurol.2012.248	Positron-emission tomography
nrurol.2012.248	Renal cell carcinoma
nrcardio.2012.189	Cardiac device therapy
nrcardio.2012.189	Coronary artery disease and stable angina
nrcardio.2012.189	Restenosis
nrclinonc.2012.224	Paediatric cancer
nrclinonc.2012.224	Palliative care
nrclinonc.2012.226	Chronic myeloid leukaemia
nrclinonc.2012.226	Clinical pharmacology
nrclinonc.2012.226	Targeted therapies
nrurol.2012.245	Pharmacokinetics
nrurol.2012.245	Sexual dysfunction
nrclinonc.2012.223	Cancer genomics
nrclinonc.2012.223	Cell signalling
nrclinonc.2012.223	Metastasis
nrclinonc.2012.223	Prostate cancer
nrurol.2012.236	Prostatic diseases
nrurol.2012.236	Surgery
nrclinonc.2012.225	Business strategy in drug development
nrclinonc.2012.225	Cancer genetics
nrclinonc.2012.225	Cancer screening
nrclinonc.2012.225	Colorectal cancer
nrurol.2012.242	Bladder cancer
nrurol.2012.242	Pharmacokinetics
nrurol.2012.242	Targeted therapies
nrgastro.2012.244	Genome-wide association studies
nrgastro.2012.244	Pancreatic cancer
ncomms1865	Biosynthesis
ncomms1865	Evolutionary biology
ncomms1865	Phylogenetics
ncomms1865	Plant molecular biology
ncomms1842	Geology
ncomms1842	Petrology
ncomms1842	Volcanology
ncomms1844	Ecology
ncomms1844	Evolutionary biology
ncomms1807	Atomic and molecular physics
ncomms1819	Evolutionary biology
ncomms1819	Palaeontology
ncomms1827	Coordination polymers
ncomms1827	Magnetic properties and materials
ncomms1827	Metal–organic frameworks
ncomms1831	Evolutionary ecology
ncomms1831	Plant sciences
ncomms1831	Symbiosis
ncomms1829	Evolutionary genetics
ncomms1829	Membrane trafficking
ncomms1829	Mitochondria
ncomms1829	Neuroscience
ncomms1837	Condensed-matter physics
ncomms1839	Biomaterials
ncomms1849	Auditory system
ncomms1849	Environmental sciences
ncomms1828	Electronic properties and materials
ncomms1828	Graphene
ncomms1832	Cancer
ncomms1832	Cell signalling
ncomms1832	DNA damage response
ncomms1834	Graphene
ncomms1834	Synthesis of graphene
ncomms1688	Biofuels
ncomms1688	Biosynthesis
ncomms1688	Genetic engineering
ncomms1688	Plant biotechnology
ncomms1915	Embryonic stem cells
ncomms1915	Epigenetics
ncomms1915	Molecular biophysics
ncomms1915	Stem-cell differentiation
ncomms1919	Cancer
ncomms1919	Cell signalling
ncomms1919	Oncogenesis
ncomms1919	Sumoylation
ncomms1927	Biochemistry
ncomms1927	Disease genetics
ncomms1927	Pathogenesis
ncomms1927	Transporters
ncomms1912	Cerebellum
ncomms1912	Cortex
ncomms1912	Sensorimotor processing
ncomms1922	Circadian mechanisms
ncomms1922	Endocrinology
ncomms1922	Entomology
ncomms1926	Chloroplasts
ncomms1926	Plant immunity
ncomms1926	Plant signalling
ncomms1803	Condensed-matter physics
ncomms1803	Liquid crystals
ncomms1773	Combinatorial libraries
ncomms1773	Drug discovery
ncomms1773	Library screening
ncomms1779	Anaemia
ncomms1779	Molecular biology
ncomms1779	Structural biology
ncomms1785	Materials science
ncomms1785	Optical spectroscopy
ncomms1787	Condensed-matter physics
ncomms1787	Graphene
ncomms1787	Terahertz optics
ncomms1789	Animal behaviour
ncomms1789	Neuroscience
ncomms1789	RNA editing
ncomms1795	Nervous system
ncomms1795	Neuropathic pain
ncomms1795	Sodium channels
ncomms1795	Target identification
ncomms1797	Bacterial physiology
ncomms1797	Biophysics
ncomms1797	Sodium channels
ncomms1797	Structural biology
ncomms1770	Apoptosis
ncomms1770	miRNAs
ncomms1770	Mitochondria
ncomms1804	Viral genetics
ncomms1804	Viral infection
ncomms1804	Viral pathogenesis
ncomms1804	Virus–host interactions
nmeth.2150	Biophysical methods
nmeth.2123	Fluorescence imaging
nmeth.2123	Fluorescence spectroscopy
nmeth.2123	RNA
nmeth.2125	Cell culture
nmeth.2125	Neural stem cells
nmeth.2125	Neuroscience
nrgastro.2012.141	Epidemiology
nrgastro.2012.141	Ulcerative colitis
nmeth.2129	Bioinformatics
nmeth.2129	Genomic analysis
nmeth.2129	Long non-coding RNAs
nrgastro.2012.143	Hepatitis C
nrgastro.2012.143	Nutritional supplements
nrgastro.2012.143	Therapeutics
nrclinonc.2012.130	Cancer epidemiology
nrclinonc.2012.130	Cancer screening
nrclinonc.2012.130	Endoscopy
nrclinonc.2012.130	Gastric cancer
nrcardio.2012.110	Drug therapy
nrcardio.2012.110	Hypertension
nrclinonc.2012.132	Prostate cancer
nrclinonc.2012.132	Radiotherapy
nmeth.2212	Bioinformatics
nmeth.2212	Software
nrclinonc.2012.183	Chemotherapy
nrclinonc.2012.183	Clinical pharmacology
nrclinonc.2012.183	Palliative care
nrgastro.2012.198	Colonoscopy
nrgastro.2012.198	Ulcerative colitis
nmeth.2118	Blood–brain barrier
nmeth.2118	Cytological techniques
nmeth.2118	Pluripotent stem cells
nmeth.2126	Proteomic analysis
nrgastro.2012.142	Enteric nervous system
nrgastro.2012.142	Immune system
nrgastro.2012.142	Irritable bowel syndrome
nrclinonc.2012.131	Cancer
nrclinonc.2012.131	Palliative care
nrclinonc.2012.131	Quality of life
nrcardio.2012.111	Drug therapy
nrcardio.2012.111	Interventional cardiology
nrcardio.2012.111	Vascular diseases
nrclinonc.2012.133	Cancer epidemiology
nrclinonc.2012.133	Laboratory techniques and procedures
nrclinonc.2012.133	Prostate cancer
nrclinonc.2012.133	Surgical oncology
nrurol.2012.146	Predictive markers
nrurol.2012.146	Prognostic markers
nrurol.2012.146	Renal cell carcinoma
nrurol.2012.154	Drug therapy
nrurol.2012.154	Erectile dysfunction
vital1535	Scientific community and society
vital1501	Events
nrclinonc.2012.99-c1	Cancer therapy
nrclinonc.2012.99-c1	Clinical pharmacology
nrclinonc.2012.99-c1	Nutrition therapy
nrclinonc.2012.99-c1	Palliative care
nrurol.2012.103-c1	Adverse effects
nrurol.2012.103-c1	Drug therapy
nrurol.2012.103-c1	Immunotherapy
nrurol.2012.103-c1	Prostate cancer
nmeth.2069	Microscopy
nmeth.2069	Molecular imaging
nmeth.2069	Single-cell imaging
nmeth.2179	Imaging
nmeth.2179	Sensors and probes
nmeth.2179	Super-resolution microscopy
nmeth.f.360	
nmeth0412-418	Gene targeting
nmeth0412-418	Genetic engineering
nrclinonc.2012.151	Cancer
nrclinonc.2012.151	Chemotherapy
nrclinonc.2012.151	Geriatrics
nrclinonc.2012.151	Radiotherapy
nrcardio.2012.104	Heart failure
nrcardio.2012.104	Risk factors
nrurol.2012.184	Bladder disease
nrurol.2012.184	Renal calculi
nrurol.2012.184	Risk factors
nrclinonc.2012.181	Cell signalling
nrclinonc.2012.181	Chemotherapy
nrclinonc.2012.181	Clinical pharmacology
nrclinonc.2012.181	Prostate cancer
nrcardio.2012.103	Economics
nrcardio.2012.103	Interventional cardiology
nrcardio.2012.105	Atrial fibrillation
nrcardio.2012.105	Drug therapy
nrcardio.2012.105	Economics
nrcardio.2012.107	Interventional cardiology
nrcardio.2012.107	Valvular disease
nrurol.2012.187	Prostate cancer
nrurol.2012.187	Therapeutics
nrurol.2012.189	Surgery
nrurol.2012.189	Urinary incontinence
nphoton.2012.224	Nanophotonics and plasmonics
nphoton.2012.226	Biophotonics
nphoton.2012.226	Optoelectronic devices and components
nphoton.2012.215	Nonlinear optics
nphoton.2012.215	Optical physics
nphoton.2012.223	Semiconductor lasers
nphoton.2012.225	Imaging and sensing
nphoton.2012.227	Lasers
nphoton.2012.227	 LEDs and light sources
nphoton.2012.227	Solar energy and photovoltaic technology
nphoton.2012.229	Biophotonics
nphoton.2012.229	Lasers
nphoton.2012.229	 LEDs and light sources
nphoton.2012.282	Optical materials and structures
nphoton.2012.282	Optoelectronic devices and components
nphoton.2012.191	Metamaterials
nphoton.2012.193	Quantum optics
mi2012118	Asthma
mi2012118	Innate immunity
mi2012118	Interferons
mi2012118	Therapeutics
mi2012122	Immunogenetics
mi2012122	Lymphatic system
mi2012122	Signal transduction
mi2012122	Transcription factors
mi2012119	Adaptive immunity
mi2012119	Asthma
mi2012119	Dendritic cells
mi2012119	Signal transduction
nphoton.2012.219	Lasers
nphoton.2012.219	 LEDs and light sources
nphoton.2012.205	Imaging and sensing
nphoton.2012.127	Frequency combs
nphoton.2012.127	Microresonators
nphoton.2012.127	Optical physics
nphoton.2012.178	Imaging and sensing
nphoton.2012.178	Nanophotonics and plasmonics
nphoton.2012.178	X-rays
nphoton.2012.190	Solar energy and photovoltaic technology
nphoton.2012.181	Nonlinear optics
nphoton.2012.181	Optical materials and structures
nphoton.2012.181	Quantum optics
nphoton.2012.181	Ultrafast photonics
nphoton.2012.179	Optical physics
nphoton.2012.179	Quantum optics
nphoton.2012.268	Quantum information
nphoton.2012.268	Quantum optics
nphoton.2012.202	Quantum optics
nphoton.2012.204	Integrated optics
nphoton.2012.204	Lasers
nphoton.2012.204	 LEDs and light sources
nphoton.2012.204	Silicon photonics
nphoton.2012.163	Quantum optics
nphoton.2012.173	Supercontinuum generation
nphoton.2012.174	Optical materials and structures
nphoton.2012.174	Quantum dots
mi2012116	HIV infections
mi2012116	Monocytes and macrophages
mi2012116	Mucosal immunology
mi2012116	Viral transmission
mi2012117	Bacterial infection
mi2012117	Immunological memory
mi2012117	Interleukins
mi2012117	Mucosal immunology
mi2012121	Bacterial infection
mi2012121	Immunization
mi2012121	Mucosal immunology
mi2012121	Preclinical research
nphoton.2012.80	Lasers
nphoton.2012.80	 LEDs and light sources
nphoton.2012.80	Optical physics
mi2012114	Mechanisms of disease
mi2012114	Respiratory tract diseases
mi2012114	Therapeutics
nphoton.2012.213	Biophotonics
nphoton.2012.213	Photonic crystals
nrmicro2741	Antibiotics
nrmicro2741	Bacteria
nrmicro2741	Microbial communities
nrmicro2741	Influenza virus
nrmicro2741	Pathogens
nrmicro2741	Public health
nrmicro2741	Virology
nrmicro2738	Antimicrobial resistance
nrmicro2738	Evolution
nrmicro2738	Genomics
nrmicro2738	Parasite genomics
nrmicro2738	Parasitology
nrmicro2745	Bacteria
nrmicro2745	Bacterial host response
nrmicro2745	Bacterial infection
nrmicro2745	Cell signalling
nrmicro2745	Clinical microbiology
nrmicro2745	Immunology
nrmicro2745	Molecularly targeted therapy
nrmicro2820	Cellular microbiology
nrmicro2820	Molecularly targeted therapy
nrmicro2820	Viral pathogenesis
nrmicro2820	Viral proteins
nrmicro2820	Virology
nrmicro2820	Virulence
nrmicro2831	Bacteria
nrmicro2831	Microbial communities
nrmicro2831	Ecosystem ecology
nrmicro2831	Environmental microbiology
nrmicro2831	Fungi
nrmicro2819	Bacteria
nrmicro2819	Bacterial pathogenesis
nrmicro2819	Clinical microbiology
nrmicro2819	Colorectal cancer
nrmicro2819	Diagnostics
nrmicro2819	Microbiome
nrmicro2819	Next-generation sequencing
nrmicro2819	Pathogens
nrmicro2837	Archaea
nrmicro2837	Bacteria
nrmicro2837	Fungi
nrmicro2837	Microbiology
nrmicro2837	Parasitology
nrmicro2837	Virology
nrmicro2779	Infectious diseases
nrmicro2779	Parasite development
nrmicro2779	Parasite immune evasion
nrmicro2779	Parasitic infection
nrmicro2779	Parasitology
nrmicro2800	Bacterial transcription
nrmicro2800	DNA replication
nrmicro2802	Genome evolution
nrmicro2802	Microbial genetics
cmi201254	
nrmicro2764	Ebola virus
nrmicro2764	Molecularly targeted therapy
nrmicro2764	Viral membrane fusion
nrmicro2763	Bacteria
nrmicro2763	Bacterial systems biology
nrmicro2763	Microbial communities
nrmicro2763	Environmental microbiology
nrmicro2763	Symbiosis
vital1606	Health care
vital1606	Health occupations
cmi201232	
nrmicro2761	Antimicrobial resistance
nrmicro2761	Antimicrobials
nrmicro2761	Bacteria
nrmicro2761	Bacterial pathogenesis
nrmicro2761	Clinical microbiology
nrmicro2761	Infectious-disease epidemiology
nrmicro2761	Infectious diseases
nrmicro2761	Therapeutics
nrmicro2761	Virulence
cmi201242	
nrmicro2797	HIV infections
nrmicro2797	Policy and public health in microbiology
nrmicro2797	Tuberculosis
nrmicro2778	Bioenergetics
nrmicro2778	Biogeochemistry
nrmicro2778	Microbial communities
nrmicro2778	Environmental microbiology
nrmicro2778	Microbial ecology
nrmicro2790	Evolution
nrmicro2790	Fungi
nrmicro2790	Genome evolution
nrmicro2790	Genomics
nrmicro2790	Pathogens
nrmicro2783	Genomics
nrmicro2783	Pathogens
nrmicro2783	Retrovirus
nrmicro2783	Viral evolution
nrmicro2783	Viral host response
nrmicro2783	Virology
nrmicro2783	Virus–host interactions
nrmicro2737	Microbial communities
nrmicro2737	Genomics
nrmicro2737	Metabolism
nrmicro2737	Phylogeny
cmi201246	
nrmicro2712	Antiviral agents
nrmicro2712	Clinical microbiology
nrmicro2712	HIV infections
nrmicro2712	Immunology
nrmicro2712	Innate immunity
nrmicro2712	Retrovirus
nrmicro2762	Bacteria
nrmicro2762	Bacterial structural biology
nrmicro2762	Pathogens
nrmicro2746	Bacteria
nrmicro2746	Microbial communities
nrmicro2746	Genome evolution
nrmicro2746	Genomics
nrmicro2746	Polysaccharides
nrmicro2746	Symbiosis
nrmicro2746	Virulence
nmeth.2113	Bioinformatics
nmeth.2113	Gene regulatory networks
nrgastro.2012.136	Cancer screening
nrgastro.2012.136	Colonoscopy
nrgastro.2012.136	Colorectal cancer
nrgastro.2012.136	Epidemiology
nmeth.1972	Cell signalling
nmeth.1972	Cytological techniques
nmeth.1972	Neuroscience
nmeth.1972	Small molecules
nmeth.1982	Bioinformatics
nmeth.1982	Next-generation sequencing
nmeth.1982	RNA editing
nmeth.1982	Transcriptomics
nmeth.1945	Caenorhabditis elegans
nmeth.1945	Fluorescent proteins
nmeth.1945	Molecular imaging
nmeth.1945	Polysaccharides
nmeth.1971	Epistasis
nmeth.1971	Library construction
nmeth.1971	Synthetic biology
nmeth.1973	Cytological techniques
nmeth.1973	Induced pluripotent stem cells
nmeth.1973	Reprogramming
nmeth.1940	Computational biology and bioinformatics
nmeth.1940	Fluorescent proteins
nmeth.1940	Plant genetics
nrgastro.2012.104	Achalasia
nrgastro.2012.104	Prognosis
nrgastro.2012.104	Therapeutics
nmeth.2058	Synthetic biology
nrurol.2012.114	Diagnosis
nrurol.2012.114	Medical imaging
nrurol.2012.114	Renal cancer
nmeth.2061	Genetic engineering
nmeth.2059	Genetic techniques
nmeth.2059	Nanoparticles
nmeth.2063	Chromatin immunoprecipitation
nmeth.2063	DNA sequencing
nmeth.2063	Methylation analysis
nrurol.2012.113	Drug therapy
nrurol.2012.113	Sexual dysfunction
nrurol.2012.38	Bladder cancer
nrurol.2012.38	Prognostic markers
nrclinonc.2012.46	Cancer genomics
nrclinonc.2012.46	Personalized medicine
nrclinonc.2012.46	Renal cell carcinoma
nrclinonc.2012.46	Surgical oncology
nrgastro.2012.39	Non-alcoholic fatty liver disease
nrgastro.2012.39	Paediatrics
nrgastro.2012.43	Drug therapy
nrgastro.2012.43	Hepatitis B
nrgastro.2012.45	Adverse effects
nrgastro.2012.45	Antimicrobial therapy
nrgastro.2012.45	Microbiota
nrgastro.2012.45	Obesity
nrgastro.2012.47	Genetic predisposition to disease
nrgastro.2012.47	Obesity
nrgastro.2012.51	Colorectal cancer
nrgastro.2012.51	Health services
nrurol.2012.48	Bladder cancer
nrurol.2012.48	Cancer therapy
nrurol.2012.48	Gene expression
nrgastro.2012.53	Combination drug therapy
nrgastro.2012.53	Gastro-oesophageal reflux disease
