,doi,subject
42,s41597-020-0533-4,Computational neuroscience
43,s41597-020-0533-4,Non-REM sleep
44,s41597-020-0533-4,Predictive markers
45,s41597-020-0538-z,Biomedical engineering
46,s41597-020-0538-z,Data publication and archiving
47,s41597-020-0529-0,Climate-change ecology
48,s41597-020-0529-0,Community ecology
49,s41597-020-0529-0,Natural variation in plants
50,s41407-020-0339-4,
51,s41438-020-0246-z,Cytokinin
52,s41438-020-0246-z,Plant evolution
53,s41407-020-0321-1,
54,s41597-020-0536-1,Comparative genomics
55,s41597-020-0536-1,Genetic databases
56,s41407-020-0327-8,
57,s41438-020-0244-1,Abiotic
58,s41438-020-0244-1,Light stress
59,s41597-020-0543-2,Communication and replication
60,s41597-020-0543-2,Data integration
61,s41597-020-0543-2,Data mining
0,s41562-020-00970-0,Computational models
1,s41562-020-00970-0,Perception
2,s41559-020-1235-1,Ecology
3,s41559-020-1235-1,Evolution
4,s41559-020-1235-1,Microbiology
5,s41551-020-0585-y,Biomarkers
6,s41551-020-0585-y,Cardiology
7,s41551-020-0585-y,Kinases
8,s41551-020-0585-y,Pathogenesis
9,s41551-020-0585-y,Proteomics
10,s41550-020-1132-1,Astrophysical dust
11,s41550-020-1132-1,Compact astrophysical objects
12,s41550-020-1132-1,Stars
13,s41550-020-1132-1,Stellar evolution
14,s41559-020-1240-4,Palaeoecology
15,s41559-020-1240-4,Palaeontology
16,s41559-020-1245-z,Community ecology
17,s41559-020-1245-z,Forest ecology
18,s41559-020-1245-z,Forestry
19,s41559-020-1245-z,Theoretical ecology
20,s41699-020-00176-y,Optical properties and devices
21,s41562-020-0905-y,Decision
22,s41562-020-0905-y,Habituation
23,s41562-020-0905-y,Learning algorithms
24,s41562-020-0905-y,Reward
25,s41529-020-00144-3,Chemical engineering
26,s41529-020-00144-3,Mathematics and computing
27,s41562-020-0910-1,Cognitive neuroscience
28,s41562-020-0910-1,Neurology
29,s41550-020-1131-2,Astronomy and planetary science
30,s41550-020-1131-2,Physics
31,s41550-020-1131-2,Stars
32,s41529-020-00134-5,Aerospace engineering
33,s41529-020-00134-5,Ceramics
34,s41562-020-0880-3,Epidemiology
35,s41562-020-0880-3,Human behaviour
36,s41562-020-0880-3,Psychiatric disorders
37,s41562-020-0880-3,Psychology
38,s41562-020-0880-3,Stress and resilience
39,s41699-020-00167-z,Electronic devices
40,s41699-020-00167-z,Ferromagnetism
41,s41699-020-00167-z,Information storage
42,s41699-020-00167-z,Magnetic properties and materials
43,s41550-020-1187-z,Exoplanets
44,s41550-020-1187-z,Finance
45,s41550-020-1187-z,Research data
46,s41550-020-01224-9,Astronomical instrumentation
47,s41550-020-01224-9,Conferences and meetings
48,s41893-020-00624-z,Energy modelling
49,s41893-020-00624-z,Environmental impact
50,s41893-020-00624-z,Sustainability
51,s41550-020-01215-w,Astronomy and astrophysics
52,s41550-020-01215-w,Astronomy and planetary science
53,s41551-020-00631-7,Biomedical engineering
54,s41551-020-00631-7,Brain–machine interface
55,s41551-020-00631-7,Neurophysiology
56,s41551-020-00639-z,
57,s41559-020-1267-6,Anthropology
58,s41559-020-1267-6,Palaeoclimate
59,s41559-020-1251-1,Biodiversity
60,s41559-020-1251-1,Conservation biology
61,s41559-020-1251-1,Fire ecology
62,s41559-020-1221-7,Evolutionary biology
63,s41559-020-1221-7,Evolutionary genetics
64,s41559-020-1221-7,Molecular evolution
65,s41559-020-1221-7,Phylogenetics
66,s41559-020-1221-7,Taxonomy
67,s41551-020-0576-z,Cancer imaging
68,s41551-020-0576-z,Light-sheet microscopy
69,s41551-020-0576-z,Neoplasm staging
70,s41559-020-1222-6,Evolutionary genetics
71,s41559-020-1222-6,Molecular evolution
72,s41562-020-0899-5,Human behaviour
73,s41559-020-1232-4,Bioinformatics
74,s41559-020-1232-4,Genomic analysis
75,s41559-020-1232-4,Molecular evolution
76,s41551-020-0568-z,Fluorescence imaging
77,s41551-020-0568-z,Regeneration
78,s41562-020-0863-4,Decision
79,s41562-020-0863-4,Human behaviour
80,s41562-020-0863-4,Sensory processing
81,s41559-020-01307-w,Careers
82,s41559-020-01307-w,Ethics
83,s41528-020-00089-2,Energy science and technology
84,s41528-020-00089-2,Materials science
85,s41570-020-00234-5,Chemical bonding
86,s41570-020-00234-5,Inorganic chemistry
87,s41570-020-00234-5,Theoretical chemistry
0,s41893-020-00618-x,Climate-change policy
1,s41893-020-00618-x,Environmental economics
2,s41928-020-00512-6,Electronic devices
3,s41928-020-00512-6,Electronic materials
4,s41928-020-00512-6,Two-dimensional materials
5,s41929-020-00551-4,Catalytic mechanisms
6,s41929-020-00551-4,Homogeneous catalysis
7,s41929-020-00551-4,Synthetic chemistry methodology
8,s41893-020-00654-7,Agriculture
9,s41893-020-00654-7,Developing world
10,s41893-020-00654-7,Energy and society
11,s41893-020-00654-7,Sustainability
12,s41893-020-00654-7,Water resources
13,s41928-020-00510-8,Biomedical engineering
14,s41928-020-00510-8,Computer science
15,s41928-020-00510-8,Electrical and electronic engineering
16,s41893-020-00656-5,Biodiversity
17,s41893-020-00656-5,Conservation biology
18,s41929-020-00558-x,Homogeneous catalysis
19,s41929-020-00558-x,Synthetic chemistry methodology
20,s41893-020-00666-3,Climate change
21,s41893-020-00666-3,Climate-change impacts
22,s41893-020-00666-3,Climate-change mitigation
23,s41893-020-00666-3,Climate-change policy
24,s41893-020-00666-3,Environmental impact
25,s41893-020-00675-2,Biodiversity
26,s41893-020-00675-2,Psychology and behaviour
27,s41929-020-00552-3,Catalytic mechanisms
28,s41929-020-00552-3,Characterization and analytical techniques
29,s41929-020-00552-3,Heterogeneous catalysis
30,s41929-020-00552-3,Imaging techniques
31,s41929-020-00552-3,Pollution remediation
32,s41893-020-00649-4,Developing world
33,s41893-020-00649-4,Natural hazards
34,s41893-020-00649-4,Social sciences
35,s41893-020-00649-4,Sustainability
36,s41893-020-00660-9,Batteries
37,s41893-020-00660-9,Energy storage
38,s41893-020-00660-9,Sustainability
39,s41929-020-00550-5,Chemical engineering
40,s41929-020-00550-5,Electrocatalysis
41,s41929-020-00550-5,Energy
42,s41929-020-00550-5,Hydrogen energy
43,s41929-020-00550-5,Nanoparticles
44,s41928-020-00505-5,Electrical and electronic engineering
45,s41928-020-00505-5,Engineering
46,s41893-020-00655-6,Biodiversity
47,s41893-020-00655-6,Psychology and behaviour
48,s41893-020-00628-9,Devices for energy harvesting
49,s41893-020-00628-9,Environmental sciences
50,s41551-020-00654-0,Genetic testing
51,s41551-020-00654-0,Nanoparticles
52,s41551-020-00655-z,Analytical biochemistry
53,s41551-020-00655-z,Assay systems
54,s41559-020-01349-0,Developmental biology
55,s41559-020-01349-0,Evolutionary developmental biology
56,s41929-020-00545-2,Electrocatalysis
57,s41929-020-00545-2,Energy
58,s41929-020-00545-2,Fuel cells
59,s41929-020-00545-2,Heterogeneous catalysis
60,s41928-020-00511-7,Electrical and electronic engineering
61,s41928-020-00511-7,Electronic devices
62,s41928-020-00511-7,Two-dimensional materials
63,s41929-020-00547-0,Electrocatalysis
64,s41929-020-00547-0,Energy
65,s41929-020-00547-0,Heterogeneous catalysis
66,s41562-020-01020-5,
67,s41562-020-01021-4,Economics
68,s41562-020-01021-4,Human behaviour
69,s41562-020-01026-z,
70,s41562-020-01022-3,
71,s41562-020-01025-0,Human behaviour
72,s41928-020-00506-4,Electronic and spintronic devices
73,s41928-020-00506-4,Magnetic properties and materials
74,s41551-020-00633-5,Biological techniques
75,s41551-020-00633-5,Computational biology and bioinformatics
76,s41551-020-00633-5,Diseases
77,s41551-020-00633-5,Health care
78,s41551-020-00633-5,Microbiology
79,s41550-020-01273-0,Compact astrophysical objects
80,s41550-020-01273-0,Cosmology
81,s41550-020-01273-0,Exoplanets
82,s41550-020-01273-0,General relativity and gravity
83,s41893-020-00641-y,Biodiversity
84,s41893-020-00641-y,Element cycles
0,s41597-020-00663-3,Biogeography
1,s41597-020-00663-3,Ecological modelling
2,s41597-020-00663-3,Macroecology
3,s41597-020-00663-3,Palaeoclimate
4,s41597-020-00663-3,Projection and prediction
5,s41597-020-00642-8,Gene expression
6,s41597-020-00642-8,Gene regulation
7,s41597-020-00642-8,Quantitative trait
8,s41597-020-00678-w,Arabidopsis thaliana
9,s41597-020-00678-w,Plant morphogenesis
10,s41597-020-00678-w,Proteomic analysis
11,s41597-020-00680-2,Cognitive neuroscience
12,s41597-020-00680-2,Databases
13,s41597-020-00690-0,Biodiversity
14,s41597-020-00690-0,Conservation biology
15,s41597-020-00690-0,Ecological modelling
16,s41597-020-00690-0,Macroecology
17,s41597-020-00603-1,Cryospheric science
18,s41597-020-00603-1,Limnology
19,s41597-020-00683-z,Cancer metabolism
20,s41597-020-00683-z,Melanoma
21,s41597-020-00683-z,Targeted therapies
22,s41597-020-00608-w,Image processing
23,s41597-020-00608-w,Machine learning
24,s41597-020-00681-1,Hydrology
25,s41597-020-00681-1,Projection and prediction
26,s41597-020-0506-7,Protein databases
27,s41597-020-0506-7,Sequence annotation
28,s41597-020-0474-y,Batteries
29,s41597-020-0474-y,Computational methods
30,s41597-020-0491-x,Batteries
31,s41597-020-0491-x,Computational methods
32,s41407-020-0391-0,
33,s41407-020-0417-7,
34,s41597-020-00665-1,Environmental economics
35,s41597-020-00665-1,Environmental impact
36,s41597-020-00649-1,Cryospheric science
37,s41597-020-00649-1,Hydrology
38,s41597-020-00649-1,Water resources
39,s41407-020-0430-x,
40,s41407-020-0427-5,
41,s41407-020-0414-x,
42,s41407-020-0421-y,
43,s41597-020-00666-0,Comparative genomics
44,s41597-020-00666-0,Genome
45,s41597-020-00666-0,Genome informatics
46,s41597-020-00666-0,Pathogens
47,s41407-020-0405-y,
48,s41407-020-0425-7,
49,s41597-020-00673-1,Geodynamics
50,s41597-020-00673-1,Palaeoceanography
51,s41597-020-00673-1,Palaeoclimate
52,s41597-020-00673-1,Sedimentology
53,s41597-020-00673-1,Volcanology
54,s41597-020-00659-z,Data integration
55,s41597-020-00659-z,Data processing
56,s41597-020-00659-z,Functional clustering
57,s41597-020-00659-z,Genetic databases
58,s41407-020-0412-z,
59,s41407-020-0410-1,
60,s41407-020-0416-8,
61,s41407-020-0422-x,
62,s41597-020-00591-2,Agriculture
63,s41597-020-00591-2,Climate-change mitigation
64,s41597-020-00591-2,Geography
65,s41597-020-00591-2,Hydrology
66,s41407-020-0419-5,
67,s41597-020-00676-y,Food webs
68,s41597-020-00676-y,Ichthyology
69,s41597-020-00676-y,Marine biology
0,s40494-020-00462-4,
1,s40494-020-00452-6,
2,s40494-020-00445-5,
3,s41413-020-00118-w,Bone
4,s41413-020-00118-w,Bone cancer
5,s41413-020-00118-w,Pathogenesis
6,s40494-020-00469-x,
7,s40494-020-00467-z,
8,s40494-020-00470-4,
9,s40494-020-00444-6,
10,s40494-020-00465-1,
11,s40494-020-00438-4,
12,s40494-020-00468-y,
13,s40494-020-00461-5,
14,s40494-020-00456-2,
15,s40494-020-00463-3,
16,s41413-020-00115-z,Bone
17,s41413-020-00115-z,Bone quality and biomechanics
18,s40494-020-00464-2,
19,s40494-020-00459-z,
20,s41413-020-00111-3,Bone cancer
21,s41413-020-00111-3,Bone quality and biomechanics
22,s41413-020-00116-y,Bone
23,s41413-020-00116-y,Pathogenesis
24,s40494-020-00454-4,
25,s41413-020-00109-x,Bone quality and biomechanics
26,s41413-020-00109-x,Metabolic disorders
27,s41413-020-00109-x,Pathogenesis
28,s40494-020-00455-3,
29,s40494-020-00441-9,
30,s40494-020-00460-6,
31,s40494-020-00458-0,
32,s40494-020-00421-z,
33,s40494-020-00457-1,
34,s40494-020-00453-5,
35,s40494-020-00414-y,
36,s40494-020-00451-7,
37,s40494-020-00404-0,
38,s40494-020-00449-1,
39,s40494-020-00447-3,
0,s41551-020-0525-x,Biomedical engineering
1,s41551-020-0525-x,Reproductive biology
2,s41550-020-1033-3,Early universe
3,s41550-020-1033-3,Galaxies and clusters
4,s41550-020-1043-1,Astrophysical dust
5,s41550-020-1043-1,Early solar system
6,s41550-020-1039-x,Astrophysical magnetic fields
7,s41550-020-1039-x,Stars
8,s41550-020-1039-x,Stellar evolution
9,s41550-020-1018-2,Exoplanets
10,s41550-020-1018-2,Stars
11,s41550-020-1018-2,Stellar evolution
12,s41550-020-1018-2,Time-domain astronomy
13,s41550-020-1063-x,Astrobiology
14,s41550-020-1063-x,Exoplanets
15,s41559-020-1181-y,Conservation biology
16,s41559-020-1181-y,Policy
17,s41562-020-0866-1,
18,s41551-020-0548-3,Extracellular signalling molecules
19,s41551-020-0548-3,Growth factor signalling
20,s41551-020-0543-8,Biomedical engineering
21,s41551-020-0543-8,Haematopoietic system
22,s41551-020-0543-8,Lab-on-a-chip
23,s41551-020-0550-9,Cardiovascular biology
24,s41551-020-0550-9,Cardiovascular models
25,s41551-020-0550-9,Heart stem cells
26,s41551-020-0550-9,Tissue engineering
27,s41562-020-0869-y,
28,s41562-020-0871-4,
29,s41551-020-0553-6,
30,s41562-020-0865-2,
31,s41570-020-0197-9,Bioinorganic chemistry
32,s41570-020-0197-9,Catalytic mechanisms
33,s41529-020-0119-9,Environmental chemistry
34,s41529-020-0119-9,Surfaces
35,s41529-020-0119-9, interfaces and thin films
36,s41529-020-0118-x,Glasses
37,s41529-020-0118-x,Mathematics and computing
38,s41528-020-00088-3,Engineering
39,s41528-020-00088-3,Physics
40,s41559-020-1193-7,Conservation biology
41,s41559-020-1193-7,Ecology
42,s41559-020-1193-7,Evolution
43,s41559-020-1193-7,Urban ecology
44,s41550-020-1127-y,Cryospheric science
45,s41550-020-1127-y,Inner planets
46,s41550-020-1133-0,Astronomical instrumentation
47,s41550-020-1133-0,Dark energy and dark matter
48,s41550-020-1133-0,High-energy astrophysics
49,s41550-020-1010-x,Astronomical instrumentation
50,s41550-020-1010-x,Exoplanets
51,s41550-020-1010-x,Frequency combs
52,s41550-020-1010-x,Optical spectroscopy
53,s41550-019-1007-5,Asteroids
54,s41550-019-1007-5, comets and Kuiper belt
55,s41550-019-1007-5,Early solar system
56,s41550-019-0984-8,Atmospheric dynamics
57,s41550-019-0984-8,Space physics
58,s41551-020-0524-y,Cancer therapy
59,s41551-020-0524-y,Drug delivery
60,s41551-020-0524-y,Lung cancer
61,s41551-020-0524-y,Systems biology
62,s41551-020-0524-y,Tumour immunology
63,s41551-020-0535-8,Cancer imaging
64,s41551-020-0535-8,Diagnosis
65,s41551-020-0535-8,Diagnostic markers
66,s41551-020-0535-8,Translational research
67,s41551-020-0536-7,Cancer imaging
68,s41551-020-0536-7,Molecular imaging
69,s41551-020-0536-7,Surgical oncology
70,s41559-020-1172-z,
71,s41562-020-0852-7,
72,s41550-020-1075-6,Computational astrophysics
73,s41550-020-1075-6,Cosmology
74,s41550-020-1075-6,Galaxies and clusters
0,s41928-019-0351-x,Electronic properties and materials
1,s41928-019-0351-x,Two-dimensional materials
2,s41929-019-0417-1,Asymmetric catalysis
3,s41929-019-0417-1,Asymmetric synthesis
4,s41929-019-0417-1,Synthetic chemistry methodology
5,s41929-019-0405-5,Catalyst synthesis
6,s41929-019-0405-5,Homogeneous catalysis
7,s41929-019-0405-5,Synthetic chemistry methodology
8,s41893-020-0567-9,Environmental impact
9,s41893-020-0567-9,Environmental sciences
10,s41893-020-0567-9,Plant sciences
11,s41929-019-0415-3,Homogeneous catalysis
12,s41929-019-0415-3,Synthetic chemistry methodology
13,s41929-019-0415-3,Organocatalysis
14,s41929-019-0415-3,Photocatalysis
15,s42005-020-00450-x,Energy science and technology
16,s42005-020-00450-x,Physics
17,s42003-020-01345-x,Coevolution
18,s42003-020-01345-x,Population genetics
19,s41929-019-0406-4,Asymmetric catalysis
20,s41929-019-0406-4,Synthetic chemistry methodology
21,s41929-019-0406-4,Organocatalysis
22,s41893-020-0581-y,Environmental economics
23,s41893-020-0581-y,Environmental sciences
24,s41893-020-0581-y,SARS-CoV-2
25,s41893-020-0581-y,Social sciences
26,s41929-019-0404-6,Homogeneous catalysis
27,s41929-019-0404-6,Synthetic chemistry methodology
28,s41929-019-0404-6,Organometallic chemistry
29,s41928-019-0345-8,Electronic and spintronic devices
30,s41928-019-0345-8,Information storage
31,s41928-019-0345-8,Magnetic devices
32,s41929-020-00517-6,Energy
33,s41929-020-00517-6,Heterogeneous catalysis
34,s41929-020-00516-7,Biocatalysis
35,s41929-020-00516-7,Enzyme mechanisms
36,s41929-020-00516-7,Photocatalysis
37,s42254-020-00254-6,Experimental nuclear physics
38,s42254-020-00254-6,Theoretical nuclear physics
39,s42254-020-00254-6,Theoretical particle physics
40,s42254-020-00254-6,Topological insulators
41,s41929-020-00503-y,Electrocatalysis
42,s41929-020-00503-y,Energy
43,s41929-020-00503-y,Heterogeneous catalysis
44,s42254-020-00248-4,Experimental nuclear physics
45,s42254-020-00248-4,Phenomenology
46,s41928-020-00471-y,
47,s41928-020-00467-8,Electrical and electronic engineering
48,s41928-020-00467-8,Electronic devices
49,s41893-020-0582-x,Ecology
50,s41893-020-0582-x,Social sciences
51,s42004-020-00431-9,Diversity-oriented synthesis
52,s42004-020-00431-9,Information storage
53,s42004-020-00431-9,Mass spectrometry
54,s42004-020-00431-9,Polymer synthesis
55,s42003-020-01481-4,Cancer genetics
56,s42003-020-01481-4,DNA mismatch repair
57,s42003-020-01481-4,Microsatellite instability
58,s41893-020-0580-z,Fire ecology
59,s41893-020-0580-z,Palaeoecology
60,s42003-020-01496-x,Cellular neuroscience
61,s42003-020-01496-x,Neural circuits
62,s42003-020-01496-x,Synaptic transmission
63,s41893-020-0591-9,Sustainability
64,s41893-020-0591-9,Wetting
65,s41893-020-0590-x,Chemical engineering
66,s41893-020-0590-x,Metal–organic frameworks
67,s41893-020-0590-x,Sustainability
68,s41928-020-0458-0,Electronic and spintronic devices
69,s41928-020-0458-0,Electronic properties and materials
70,s41928-020-0458-0,Graphene
71,s41928-020-0458-0,Magnetic properties and materials
72,s42003-020-01482-3,Coevolution
73,s42003-020-01482-3,Ecological genetics
74,s42003-020-01482-3,Entomology
75,s42003-020-01482-3,Evolutionary genetics
76,s42003-020-01482-3,Speciation
77,s42004-020-00428-4,Biofuels
78,s42004-020-00428-4,Computational chemistry
79,s42004-020-00428-4,Heterogeneous catalysis
80,s41929-020-0488-z,Electrocatalysis
81,s41929-020-0488-z,Synthetic chemistry methodology
82,s42003-020-01492-1,Bacteria
83,s42003-020-01492-1,Ubiquitylated proteins
84,s42003-020-01492-1,X-ray crystallography
85,s42003-020-01478-z,Membrane proteins
86,s42003-020-01478-z,X-ray crystallography
0,s41928-020-0460-6,Electrical and electronic engineering
1,s41928-020-0460-6,Electronic devices
2,s41928-020-0460-6,Electronic properties and devices
3,s41893-020-0547-0,Biodiversity
4,s41893-020-0547-0,Environmental economics
5,s41893-020-0547-0,Environmental impact
6,s41893-020-0547-0,Forestry
7,s42004-020-00429-3,Metal–organic frameworks
8,s42004-020-00429-3,Organic–inorganic nanostructures
9,s42004-020-00429-3,Porous materials
10,s42004-020-00424-8,Bioanalytical chemistry
11,s42004-020-00424-8,Infrared spectroscopy
12,s41929-020-0494-1,Asymmetric catalysis
13,s41929-020-0494-1,Homogeneous catalysis
14,s41929-020-0494-1,Synthetic chemistry methodology
15,s42255-020-00326-y,Cell signalling
16,s42255-020-00326-y,Liver fibrosis
17,s42255-020-00326-y,Metabolism
18,s42255-020-00326-y,Monocytes and macrophages
19,s42003-020-01467-2,Evolution
20,s42003-020-01467-2,Palaeontology
21,s41929-020-0487-0,Homogeneous catalysis
22,s41929-020-0487-0,Synthetic chemistry methodology
23,s41929-020-0487-0,Organic chemistry
24,s42003-020-01475-2,Antimicrobials
25,s42003-020-01475-2,Medicinal chemistry
26,s41928-020-0444-6,Electronic devices
27,s41928-020-0444-6,Two-dimensional materials
28,s42254-020-00266-2,Engineering
29,s42254-020-00266-2,Nuclear physics
30,s41928-020-00516-2,Silicon photonics
31,s41928-020-00516-2,Single photons and quantum effects
32,s41928-020-00508-2,Electrical and electronic engineering
33,s41928-020-00508-2,Nanoscience and technology
34,s41929-020-00548-z,Electrocatalysis
35,s41929-020-00548-z,Energy
36,s41929-020-00548-z,Heterogeneous catalysis
37,s42004-020-00427-5,Analytical chemistry
38,s42004-020-00427-5,Bioanalytical chemistry
39,s42004-020-00427-5,Chemistry
40,s42005-020-00495-y,Electronic and spintronic devices
41,s42005-020-00495-y,Electronic properties and devices
42,s41929-020-0485-2,Homogeneous catalysis
43,s41929-020-0485-2,Organic chemistry
44,s41929-020-0485-2,Chemical synthesis
45,s41928-020-0441-9,Electrical and electronic engineering
46,s41928-020-0441-9,Electronic devices
47,s41928-020-0441-9,Electronic properties and materials
48,s41928-020-0441-9,Two-dimensional materials
49,s41929-020-00541-6,Artificial photosynthesis
50,s41929-020-00541-6,Corrosion
51,s41929-020-00541-6,Electrocatalysis
52,s41929-020-00541-6,Photocatalysis
53,s41929-020-00541-6,Solar fuels
54,s41929-020-00542-5,Electrocatalysis
55,s41929-020-00542-5,Energy
56,s41929-020-00542-5,Heterogeneous catalysis
57,s41928-020-00488-3,Electronic and spintronic devices
58,s41928-020-00488-3,Spintronics
59,s41929-020-0474-5,Asymmetric catalysis
60,s41929-020-0474-5,Homogeneous catalysis
61,s41929-020-0474-5,Organic chemistry
62,s42003-020-01464-5,Cancer
63,s42003-020-01464-5,Cancer microenvironment
64,s41929-020-00549-y,Biodiesel
65,s41929-020-00549-y,Catalyst synthesis
66,s41929-020-00549-y,Heterogeneous catalysis
67,s41929-020-00549-y,Porous materials
68,s41929-020-00549-y,Synthesis and processing
69,s41928-020-00503-7,Electronic devices
70,s41928-020-00503-7,Electronic properties and materials
71,s41928-020-00503-7,Solar cells
72,s41928-020-00514-4,Electronic and spintronic devices
73,s41928-020-00514-4,Magnetic devices
74,s42005-020-00485-0,Applied mathematics
75,s42005-020-00485-0,Complex networks
76,s42005-020-00485-0,Nonlinear phenomena
77,s41893-020-00653-8,Developing world
78,s41893-020-00653-8,Diseases
79,s41893-020-00653-8,Environmental sciences
80,s41893-020-00653-8,Hydrology
81,s41893-020-00653-8,Risk factors
82,s41893-020-00653-8,SARS virus
83,s41928-020-00484-7,Materials for devices
84,s41928-020-00484-7,Nanoscale devices
85,s41928-020-00487-4,Design
86,s41928-020-00487-4, synthesis and processing
87,s41928-020-00487-4,Electrical and electronic engineering
88,s41928-020-00487-4,Electronic devices
89,s41928-020-00487-4,Electronics
90,s41928-020-00487-4, photonics and device physics
91,s41928-020-00487-4,Lasers
92,s41928-020-00487-4, LEDs and light sources
93,s41928-020-00473-w,Electrical and electronic engineering
94,s41928-020-00473-w,Electronic devices
95,s41928-020-00473-w,Two-dimensional materials
96,s41929-020-00525-6,Electrocatalysis
97,s41929-020-00525-6,Energy
98,s41929-020-00525-6,Heterogeneous catalysis
0,s41438-020-0296-2,Plant morphogenesis
1,s41438-020-0296-2,Plant physiology
2,s41597-020-0377-y,Comparative genomics
3,s41597-020-0377-y,DNA sequencing
4,s41597-020-0377-y,Genome
5,s41597-020-0377-y,Parasitic infection
6,s41597-020-0377-y,Pathogens
7,s41407-020-0357-2,
8,s41597-020-00593-0,Bacterial genetics
9,s41597-020-00593-0,Data mining
10,s41597-020-00593-0,Evolutionary genetics
11,s41597-020-00593-0,Microbial ecology
12,s41407-020-0364-3,
13,s41597-020-00581-4,Data processing
14,s41597-020-00581-4,Genome informatics
15,s41597-020-00581-4,Plant sciences
16,s41597-020-00581-4,Standardization
17,s41597-020-00581-4,Transcriptomics
18,s41407-020-0352-7,
19,s41407-020-0367-0,
20,s41407-020-0355-4,
21,s41407-020-0362-5,
22,s41597-020-0379-9,Anatomy
23,s41597-020-0379-9,Medical research
24,s41407-020-0350-9,
25,s41407-020-0358-1,
26,s41597-020-0400-3,DNA sequencing
27,s41597-020-0400-3,Genome
28,s41597-020-0400-3,Zoology
29,s41407-020-0365-2,
30,s41407-020-0353-6,
31,s41438-020-0308-2,Plant breeding
32,s41438-020-0308-2,Plant genetics
33,s41407-020-0360-7,
34,s41599-020-00604-w,Science
35,s41599-020-00604-w, technology and society
36,s41599-020-00604-w,Social policy
37,s41438-020-0295-3,Plant breeding
38,s41438-020-0295-3,Plant evolution
39,s41438-020-0295-3,Structural variation
40,s41438-020-0290-8,Metabolism
41,s41438-020-0290-8,Secondary metabolism
42,s41597-020-0362-5,Animal migration
43,s41597-020-0362-5,Environmental impact
44,s41597-020-0362-5,Hydrology
45,s41597-020-00580-5,Developing world
46,s41597-020-00580-5,Environmental sciences
47,s41597-020-00580-5,Geography
48,s41597-020-0525-4,
49,s41597-019-0350-9,Plant molecular biology
50,s41597-019-0350-9,RNA sequencing
51,s41597-019-0350-9,Transcriptomics
52,s41597-020-00583-2,Civil engineering
53,s41597-020-00583-2,Hydrology
54,s41597-020-00583-2,Water resources
55,s41438-020-0281-9,Comparative genomics
56,s41438-020-0281-9,Next-generation sequencing
57,s41438-020-0289-1,Evolutionary biology
58,s41438-020-0289-1,Plant breeding
59,s41438-020-0280-x,Arabidopsis thaliana
60,s41438-020-0280-x,Cell wall
61,s41438-020-0280-x,Plant cell death
62,s41438-020-0300-x,Evolution
63,s41438-020-0300-x,Genome
64,s41597-020-0360-7,Corneal diseases
65,s41597-020-0360-7,Data processing
66,s41597-020-0360-7,Fluorescence imaging
67,s41438-020-0284-6,Comparative genomics
68,s41438-020-0284-6,Genome evolution
69,s41597-019-0349-2,Biomedical engineering
70,s41597-019-0349-2,Bone
71,s41597-019-0349-2,Skeleton
0,s41893-020-00627-w,Developing world
1,s41893-020-00627-w,Energy and society
2,s41893-020-00627-w,Energy science and technology
3,s41893-020-00627-w,Engineering
4,s41893-020-00627-w,Sustainability
5,s41550-020-1176-2,Galaxies and clusters
6,s41550-020-1176-2,Interstellar medium
7,s41550-020-1186-0,Compact astrophysical objects
8,s41550-020-1186-0,High-energy astrophysics
9,s41562-020-0840-y,Psychology
10,s41562-020-0840-y,Social sciences
11,s41559-020-1187-5,Evolutionary theory
12,s41559-020-1187-5,Zoology
13,s41698-020-00136-1,Cancer genomics
14,s41698-020-00136-1,Cancer microenvironment
15,s41528-020-00094-5,Materials for devices
16,s41528-020-00094-5,Nanowires
17,s41562-020-0861-6,Health humanities
18,s41562-020-0861-6,Human behaviour
19,s41562-020-0819-8,Cultural and media studies
20,s41562-020-0819-8,Neuroscience
21,s41562-020-0819-8,Psychology
22,s41529-020-00141-6,Computational methods
23,s41529-020-00141-6,Metals and alloys
24,s41559-020-1188-4,Behavioural ecology
25,s41559-020-1188-4,Evolutionary theory
26,s41559-020-1188-4,Sexual selection
27,s41559-020-1107-8,Evolutionary genetics
28,s41559-020-1107-8,Experimental evolution
29,s41559-020-1107-8,Mutation
30,s41559-020-1189-3,Anthropology
31,s41559-020-1189-3,Cultural evolution
32,s41559-020-1189-3,Neuroscience
33,s41559-020-1189-3,Psychology
34,s41529-020-00138-1,Materials chemistry
35,s41529-020-00138-1,Solid-state chemistry
36,s41559-020-1216-4,Freshwater ecology
37,s41559-020-1216-4,Water resources
38,s41550-020-1128-x,Astronomy and astrophysics
39,s41550-020-1128-x,Developing world
40,s41550-020-1155-7,Astronomy and planetary science
41,s41550-020-1155-7,Scientific community
42,s41550-020-1184-2,Exoplanets
43,s41550-020-1180-6,Astronomy and astrophysics
44,s41550-020-1180-6,Space physics
45,s41570-020-0219-7,Energy harvesting
46,s41570-020-0219-7,Reaction kinetics and dynamics
47,s41570-020-0219-7,Organic chemistry
48,s41570-020-00220-x,Electrochemistry
49,s41570-020-00220-x,Physical chemistry
50,s41559-020-1273-8,Ecology
51,s41559-020-1164-z,Climate-change ecology
52,s41559-020-1164-z,Ecosystem ecology
53,s41551-019-0495-z,Biological models
54,s41551-019-0495-z,Biomimetics
55,s41551-019-0495-z,Drug development
56,s41551-019-0495-z,Experimental models of disease
