journal,issn,title,authors,year,volume_issue,publication_date,doi
Science,0036-8075,Human OTULIN haploinsufficiency impairs cell-intrinsic immunity to staphylococcal α-toxin,András N Spaan; Anna-Lena Neehus; Emmanuel Laplantine; Frederik Staels; Masato Ogishi; Yoann Seeleuther; Franck Rapaport; Keenan A Lacey; Erika Van Nieuwenhove; Maya Chrabieh; David Hum; Mélanie Migaud; Araksya Izmiryan; Lazaro Lorenzo; Tatiana Kochetkov; Dani AC Heesterbeek; Bart W Bardoel; Ashley L DuMont; Kerry Dobbs,2022,v376 n6599 (20220617): eabm6380,2022-06-17,10.1126/science.abm6380
Science,0036-8075,"After Brexit, U.K. budget offers boost to science",Erik Stokstad,2020,v367 n6484 (20200320): 1291,2020-03-20,10.1126/science.367.6484.1291
Science,0036-8075,The stillness of sleep.,William Wisden; Nicholas P Franks,2020,v367 n6476 (20200124): 366-367,2020-01-24,10.1126/science.aba4485
Science,0036-8075,"James G. Townsel (1935–
2020)",Rae Nishi; Byron D Ford; John G Hildebrand,2020,v369 n6506 (20200821): 925,2020-08-21,10.1126/science.abd8380
Science,0036-8075,Aged neurons don’t register energy need,Deniz Bingul; Scott F Owen,2024,v386 n6728 (20241220): 1349-1350,2024-12-20,10.1126/science.adu4935
Science,0036-8075,A sustainable wood biorefinery for low-carbon footprint chemicals production,Liao Y; Koelewijn S-F; van den Bossche G; van Aelst J; van den Bosch S; Renders T; van Aelst K; Lagrain B; Verboekend D; Sels BF; Navare K; van Acker K; Nicolai T; Thevelein JM; Maesen M; Matsushima H,2020,,,10.1126/science.aau1567
Science,0036-8075,The future in the past,Jesse Smith H,2020,,,10.1126/SCIENCE.370.6517.677-O
Science,0036-8075,"Molecularly thin, two-dimensional all-organic perovskites.",,,,,
Science,0036-8075,"Mars lander spies the planet's deep boundaries Despite lack of large quakes, InSight team fixes size of crust, mantle, and core",P Voosen,2020,,,
Science,0036-8075,Two-dimensional materials by large-scale computations and chemical exfoliation of layered solids,Jonas Björk; Jie Zhou; Per O Å Persson; Johanna Rosen,2024,v383 n6688 (20240315): 1210-1215,2024-03-15,10.1126/science.adj6556
Science,0036-8075,Finding time for my passion,Hasan Merali,2023,v379 n6630 (20230127): 406,2023-01-27,10.1126/science.adg7885
Science,0036-8075,Analysis of 6.4 million SARS-CoV-2 genomes identifies mutations associated with fitness,F Obermeyer,2022,,,
Science,0036-8075,Study disputes carbon dioxide-fish behavior link,Martin Enserink,2020,v367 n6474 (20200110): 128-129,2020-01-10,10.1126/science.367.6474.128
Science,0036-8075,Accounting for heat burdens,,2020,,,10.1126/SCIENCE.369.6508.1203-E
Science,0036-8075,Multiplicity of dislocation pathways in a refractory multiprincipal element alloy.,Fulin Wang; Glenn H Balbus; Shuozhi Xu; Yanqing Su; Jungho Shin; Paul F Rottmann; Keith E Knipling; Jean-Charles Stinville; Leah H Mills; Oleg N Senkov; Irene J Beyerlein; Tresa M Pollock; Daniel S Gianola,2020,v370 n6512 (20201002): 95-101,2020-10-02,10.1126/science.aba3722
Science,0036-8075,Inflammation.,Gemma Alderton; Seth Thomas Scanlon,2021,v374 n6571 (20211126): 1068-1069,2021-11-26,10.1126/science.abn1721
Science,0036-8075,"Teen vaping is bad. Nicotine makes it worse, says researcher",Sarah Allen,2020,,,10.1126/science.abb3137
Science,0036-8075,A new lane for science.,Enola K Proctor; Elvin Geng,2021,,,
Science,0036-8075,Serbian lithium mine triggers publication dispute.,Cathleen O'Grady,2024,v385 n6713 (20240906): 1036,2024-09-06,10.1126/science.ads9199
Science,0036-8075,NASA's asteroid deflection mission takes aim,Z Savitsky,2022,,,
Science,0036-8075,Cell-free chemoenzymatic starch synthesis from carbon dioxide,T Cai,2021,,,
Science,0036-8075,"Response to Comment on ""A noninteracting low-mass black hole-giant star binary system"".",Todd A Thompson; Christopher S Kochanek; Krzysztof Z Stanek; Carles Badenes; Tharindu Jayasinghe; Jamie Tayar; Jennifer A Johnson; Thomas W-S Holoien; Katie Auchettl; Kevin Covey,2020,v368 n6491 (20200508),2020-05-08,10.1126/science.aba4356
Science,0036-8075,Fault size–dependent fracture energy explains multiscale seismicity and cascading earthquakes,Alice-Agnes Gabriel; Dmitry I Garagash; Kadek H Palgunadi; P Martin Mai,2024,v385 n6707 (20240726),2024-07-26,10.1126/science.adj9587
Science,0036-8075,Stable and selective catalysts for propane dehydrogenation operating at thermodynamic limit,Ali Hussain Motagamwala; Rawan Almallahi; James Wortman; Valentina Omoze Igenegbai; Suljo Linic,2021,v373 n6551 (20210708),2021-07-08,10.1126/science.abg7894
Science,0036-8075,"Making meaning from materials Handmade: A Scientist’s Search for Meaning Through Making Anna Ploszajski Bloomsbury, 2023. 320 pp.",Dorothy Jones-Davis,2023,v380 n6645 (20230512): 590,2023-05-12,10.1126/science.adh2248
Science,0036-8075,Volitional activation of remote place representations with a hippocampal brain-machine interface,Chongxi Lai; Shinsuke Tanaka; Timothy D Harris; Albert K Lee,2023,v382 n6670 (20231103): 566-573,2023-11-03,10.1126/science.adh5206
Science,0036-8075,Sex hormones signal why virus hits men harder,Wadman M,2020,,,
Science,0036-8075,Writing my way through.,A Rani Elwy,2021,v373 n6559 (20210903): 1170,2021-09-03,10.1126/science.acx8962
Science,0036-8075,Expansion sequencing: Spatially precise in situ transcriptomics in intact biological systems,Shahar Alon; Daniel R Goodwin; Anubhav Sinha; Asmamaw T Wassie; Fei Chen; Evan R Daugharthy; Yosuke Bando; Atsushi Kajita; Andrew G Xue; Karl Marrett; Robert Prior; Yi Cui; Andrew C Payne; Chun-Chen Yao; Ho-Jun Suk; Ru Wang; Chih-Chieh (Jay) Yu; Paul Tillberg; Paul Reginato; Nikita Pak; Songlei Liu; Sukanya Punthambaker; Eswar P R Iyer,2021,v371 n6528 (20210129),2021-01-29,10.1126/science.aax2656
Science,0036-8075,Co-management of Chile's escaped farmed salmon,G Figueroa-Muñoz,2022,,,
Science,0036-8075,Hydraulic flux-responsive hormone redistribution determines root branching,Poonam Mehra; Bipin K Pandey; Dalia Melebari; Jason Banda; Nicola Leftley; Valentin Couvreur; James Rowe; Moran Anfang; Hugues De Gernier; Emily Morris; Craig J Sturrock; Sacha J Mooney; Ranjan Swarup; Christine Faulkner; Tom Beeckman; Rishikesh P Bhalerao; Eilon Shani; Alexander M Jones; Ian C Dodd; Robert E Sharp; Ari Sadanandom,2022,v378 n6621 (20221118): 762-768,2022-11-18,10.1126/science.add3771
Science,0036-8075,Making a bed for viral infections,A S Mirchandani; S R Walmsley,2020,,,
Science,0036-8075,On the origins of fatigue strength in crystalline metallic materials,J C Stinville; M A Charpagne; A Cervellon; S Hemery; F Wang; P G Callahan; V Valle; T M Pollock,2022,v377 n6610 (20220902): 1065-1071,2022-09-02,10.1126/science.abn0392
Science,0036-8075,Bioresorbable shape-adaptive structures for ultrasonic monitoring of deep-tissue homeostasis.,Jiaqi Liu; Naijia Liu; Yameng Xu; Mingzheng Wu; Haohui Zhang; Yue Wang; Ying Yan; Angela Hill; Ruihao Song; Zijie Xu; Minsu Park; Yunyun Wu; Joanna L Ciatti; Jianyu Gu; Haiwen Luan; Yamin Zhang; Tianyu Yang; Hak-Young Ahn; Shupeng Li; Wilson Z Ray; Colin K Franz; Matthew R MacEwan; Yonggang Huang; Chet W Hammill; Heling Wang,2024,v383 n6687 (20240308): 1096-1103,2024-03-08,10.1126/science.adk9880
Science,0036-8075,Natural hybridization reveals incompatible alleles that cause melanoma in swordtail fish,Powell DL; Banerjee S; Blakkan D; Schumer M; Garcia-Olazabal M; Rosenthal GG; Schartl M; Keegan M; Reilly P; Du K; Diaz-Loyo AP; Reich D; Andolfatto P,2020,,,10.1126/science.aba5216
Science,0036-8075,A brief history and future prospects of contraception,Deborah J Anderson; Daniel S Johnston,2023,v380 n6641 (20230414): 154-158,2023-04-14,10.1126/science.adf9341
Science,0036-8075,News at a glance,,2021,,,
Science,0036-8075,A precise polyrotaxane synthesizer.,Yunyan Qiu; Bo Song; Cristian Pezzato; Dengke Shen; Wenqi Liu; Long Zhang; Yuanning Feng; Qing-Hui Guo; Kang Cai; Weixingyue Li; Hongliang Chen; Minh T Nguyen; Yi Shi; Chuyang Cheng; R Dean Astumian; Xiaopeng Li; J Fraser Stoddart,2020,v368 n6496 (20200612): 1247-1253,2020-06-12,10.1126/science.abb3962
Science,0036-8075,"Clock genes and environmental cues coordinate Anopheles pheromone synthesis, swarming, and mating",Wang G; Cui C; Dong L; Li F; Wang S; Vega-Rodriguez J; Jacobs-Lorena M; Diabate A; Nignan C; Ouedrago CO; Bandaogo AM; Sawadogo PS; Maiga H; Liu J; Silva TLA; Pascini TV,2021,,,10.1126/science.abd4359
Science,0036-8075,In Science Journals.,Sacha Vignieri; Corinne Simonti; Di Jiang; Caroline Ash; Courtney Malo; Phil Szuromi; Claire Olingy; Sarah H Ross; Michael A Funk; Peter Stern; Annalisa M VanHook,2025,v387 n6733 (20250131): 484-486,2025-01-31,10.1126/science.adw3272
Science,0036-8075,Kinetic and Thermodynamic Control of C(sp 2 )–H Activation Enable Site-Selective Borylation,Jose B Roque; Alex M Shimozono; Tyler P Pabst; Gabriele Hierlmeier; Paul O Peterson; Paul J Chirik,2023,v382 n6675 (20231208): 1165-1170,2023-12-08,10.1126/science.adj6527
Science,0036-8075,A positive relationship between functional redundancy and temperature in Cenozoic marine ecosystems,T M Womack; J S Crampton; M J Hannah; K S Collins,2021,v373 n6558 (20210827): 1027-1029,2021-08-27,10.1126/science.abf8732
Science,0036-8075,The human disease gene LYSET is essential for lysosomal enzyme transport and viral infection,C M Richards,2022,,,
Science,0036-8075,Trypanosome doublet microtubule structures reveal flagellum assembly and motility mechanisms.,Xian Xia; Michelle M Shimogawa; Hui Wang; Samuel Liu; Angeline Wijono; Gerasimos Langousis; Ahmad M Kassem; James A Wohlschlegel; Kent L Hill; Z Hong Zhou,2025,v387 n6739 (20250314): eadr3314,2025-03-14,10.1126/science.adr3314
Science,0036-8075,Mars mission would put China among space leaders,D Normile,2020,,,
Science,0036-8075,Braiding Indigenous rights and endangered species law,C T Lamb,2023,,,
Science,0036-8075,News at a glance.,,2023,,,
Science,0036-8075,Entanglement snares prize Trio helped launch new quantum revolution,A Cho,2022,,,
Science,0036-8075,GEOPHYSICS: Mapping out backward motion,,2020,,,10.1126/SCIENCE.370.6516.543-H
Science,0036-8075,Fat for heat.,Wenfei Sun,2021,v374 n6571 (20211126): 1066,2021-11-26,10.1126/science.abm8138
Science,0036-8075,"Science could benefit as Democrats take power: Major shifts on climate and science policy expected, but political obstacles abound",Malakoff D; Mervis J,2021,,,10.1126/science.371.6526.218
Science,0036-8075,Star’s strange path around black hole proves Einstein right—again,Daniel Clery,2020,,,10.1126/science.abc2750
Science,0036-8075,Profiling prostate biology,Kathleen Kelly,2020,,,10.1126/science.abb7052
Science,0036-8075,Solvent molecules form surface redox mediators in situ and cocatalyze O<sub>2</sub>reduction on Pd,Adams JS; Priyadarshini P; Ricciardulli T; Sampath A; Flaherty DW; Chemburkar A; Maliekkal V; Winikoff S; Neurock M; Lu Y; Karim AM,2021,,,10.1126/science.abc1339
Science,0036-8075,Nucleosynthetic isotope anomalies of zinc in meteorites constrain the origin of Earth’s volatiles,Rayssa Martins; Sven Kuthning; Barry J Coles; Katharina Kreissig; Mark Rehkämper,2023,v379 n6630 (20230127): 369-372,2023-01-27,10.1126/science.abn1021
Science,0036-8075,Measure emissions to manage emissions.,Al Gore,2022,v378 n6619 (20221104): 455,2022-11-04,10.1126/science.adf5788
Science,0036-8075,Reversible reprogramming of cardiomyocytes to a fetal state drives heart regeneration in mice,,,,,
Science,0036-8075,Contemporary hominin locomotor diversity,William E H Harcourt-Smith,2024,v386 n6725 (20241129): 969-970,2024-11-29,10.1126/science.adt8033
Science,0036-8075,Frequency-dependent polarization of repeating fast radio bursts—implications for their origin,Yi Feng; Di Li; Yuan-Pei Yang; Yongkun Zhang; Weiwei Zhu; Bing Zhang; Wenbin Lu; Pei Wang; Shi Dai; Ryan S Lynch; Jumei Yao; Jinchen Jiang; Jiarui Niu; Dejiang Zhou; Heng Xu; Chenchen Miao; Chenhui Niu; Lingqi Meng; Lei Qian; Chao-Wei Tsai; Bojun Wang; Mengyao Xue; Youling Yue; Mao Yuan; Songbo Zhang; Lei Zhang,2022,v375 n6586 (20220318): 1266-1270,2022-03-18,10.1126/science.abl7759
Science,0036-8075,"Amid the cheering, some vaccines face questions A candidate from AstraZeneca and the University of Oxford has puzzling efficacy data",J Cohen,2020,,,
Science,0036-8075,Vaccines are in short supply amid global cholera surge.,Kai Kupferschmidt,2022,v378 n6623 (20221202): 938-939,2022-12-02,10.1126/science.adg0522
Science,0036-8075,The proteasome controls ESCRT-III–mediated cell division in an archaeon,Gabriel Tarrason Risa; Fredrik Hurtig; Sian Bray; Anne E Hafner; Lena Harker-Kirschneck; Peter Faull; Colin Davis; Dimitra Papatziamou; Delyan R Mutavchiev; Catherine Fan; Leticia Meneguello; Andre Arashiro Pulschen; Gautam Dey; Siân Culley; Mairi Kilkenny; Diorge P Souza; Luca Pellegrini; Robertus A M de Bruin; Ricardo Henriques; Ambrosius P Snijders,2020,v369 n6504 (20200807),2020-08-07,10.1126/science.aaz2532
Science,0036-8075,"Evidence, causes, and consequences of declining nitrogen availability in terrestrial ecosystems.",Rachel E Mason; Joseph M Craine; Nina K Lany; Mathieu Jonard; Scott V Ollinger; Peter M Groffman; Robinson W Fulweiler; Jay Angerer; Quentin D Read; Peter B Reich; Pamela H Templer; Andrew J Elmore,2022,v376 n6590 (20220415): eabh3767,2022-04-15,10.1126/science.abh3767
Science,0036-8075,The value of private properties for the conservation of biodiversity in the Brazilian Cerrado,P De Marco,2023,,,
Science,0036-8075,"A ligand is located, at long last!",Scanlon ST,2020,,,10.1126/SCIENCE.370.6521.1177-J
Science,0036-8075,Origins and genetic legacy of prehistoric dogs,Anders Bergström; Laurent Frantz; Ryan Schmidt; Erik Ersmark; Ophelie Lebrasseur; Linus Girdland-Flink; Audrey T Lin; Jan Storå; Karl-Göran Sjögren; David Anthony; Ekaterina Antipina; Sarieh Amiri; Guy Bar-Oz; Vladimir I Bazaliiskii; Jelena Bulatović; Dorcas Brown; Alberto Carmagnini; Tom Davy; Sergey Fedorov; Ivana Fiore,2020,v370 n6516 (20201030): 557-564,2020-10-30,10.1126/science.aba9572
Science,0036-8075,Vaccine-enhanced competition permits rational bacterial strain replacement in the gut,,,,,
Science,0036-8075,Strain-induced rubidium incorporation into wide-bandgap perovskites reduces photovoltage loss,Likai Zheng; Mingyang Wei; Felix T Eickemeyer; Jing Gao; Bin Huang; Ummugulsum Gunes; Pascal Schouwink; David Wenhua Bi; Virginia Carnevali; Mounir Mensi; Francesco Biasoni; Yuxuan Zhang; Lorenzo Agosta; Vladislav Slama; Nikolaos Lempesis; Michael A Hope; Shaik M Zakeeruddin; Lyndon Emsley; Ursula Rothlisberger; Lukas Pfeifer; Yimin Xuan,2025,v388 n6742 (20250404): 88-95,2025-04-04,10.1126/science.adt3417
Science,0036-8075,Zeptosecond birth time delay in molecular photoionization,S Grundmann,2020,,,
Science,0036-8075,"Early approval of a COVID-19 vaccine could cause ethical problems for other vax candidates, and ‘upcycling’ plastic bags",Sarah Crespi,2020,,,10.1126/science.abf3521
Science,0036-8075,RNA drugs custommade for rare diseases face wider test.,Jocelyn Kaiser,2021,v374 n6568 (20211105): 672,2021-11-05,10.1126/science.acx9539
Science,0036-8075,"Fighting COVID-19 vaccine fears, tracking the pandemic’s origin, and a new technique for peering under paint",Sarah Crespi,2020,,,10.1126/science.abe0574
Science,0036-8075,A COVID-19 publishing revolution? Not yet.,Jeffrey Brainard,2021,v373 n6560 (20210910): 1182-1183,2021-09-10,10.1126/science.acx9043
Science,0036-8075,A metabolic dependency of EBV can be targeted to hinder B cell transformation.,Bojana Müller-Durovic; Christoph Berger; Jessica Jäger; Christine Engelmann; Patrick Schuhmachers; Sabine Altermatt; Yannick Schlup; Urs Duthaler; Celia Makowiec; Gunhild Unterstab; Sarah Roffeis; Erta Xhafa; Nadine Assmann; Fredrik Trulsson; Rebekah Steiner; Joy Edwards-Hicks; James West; Lorinda Turner; Leyla Develioglu,2024,v385 n6704 (20240705): eadk4898,2024-07-05,10.1126/science.adk4898
Science,0036-8075,Grain boundary velocity and curvature are not correlated in Ni polycrystals,A Bhattacharya,2021,,,
Science,0036-8075,Realization of an ideal Weyl semimetal band in a quantum gas with 3D spin-orbit coupling.,Zong-Yao Wang; Xiang-Can Cheng; Bao-Zong Wang; Jin-Yi Zhang; Yue-Hui Lu; Chang-Rui Yi; Sen Niu; Youjin Deng; Xiong-Jun Liu; Shuai Chen; Jian-Wei Pan,2021,v372 n6539 (20210416): 271-276,2021-04-16,10.1126/science.abc0105
Science,0036-8075,In Science Journals.,,,,,
Science,0036-8075,HLA genetics and COVID-19,Caroline Ash; Jesse Smith; Laura M Zahn,2020,v368 n6493 (20200522): 841.2-841,2020-05-22,10.1126/science.368.6493.841-b
Science,0036-8075,New Omicron strains may portend big COVID-19 waves,G Vogel,2022,,,
Science,0036-8075,Innate immune cells remember,Michael Funk; Seth Thomas Scanlon,2020,v368 n6495 (20200605): 1076.17-1078,2020-06-05,10.1126/science.368.6495.1076-q
Science,0036-8075,Quantum anomalous Hall effect in intrinsic magnetic topological insulator MnBi 2 Te 4,Yujun Deng; Yijun Yu; Meng Zhu Shi; Zhongxun Guo; Zihan Xu; Jing Wang; Xian Hui Chen; Yuanbo Zhang,2020,v367 n6480 (20200221): 895-900,2020-02-21,10.1126/science.aax8156
Science,0036-8075,High ambipolar mobility in cubic boron arsenide,Jungwoo Shin; Geethal Amila Gamage; Zhiwei Ding; Ke Chen; Fei Tian; Xin Qian; Jiawei Zhou; Hwijong Lee; Jianshi Zhou; Li Shi; Thanh Nguyen; Fei Han; Mingda Li; David Broido; Aaron Schmidt; Zhifeng Ren; Gang Chen,2022,v377 n6604 (20220722): 437-440,2022-07-22,10.1126/science.abn4290
Science,0036-8075,How I cultivated connections outside academia—and landed a job,Kelsey Hodge-Hanson,2020,,,10.1126/science.caredit.abd7346
Science,0036-8075,Sir Michael Anthony Epstein (1921-2024).,Richard F Ambinder; Rena R Xian,2024,v384 n6693 (20240419): 274,2024-04-19,10.1126/science.adp2961
Science,0036-8075,Multiple rereads of single proteins at single—amino acid resolution using nanopores,H Brinkerhoff,2021,,,
Science,0036-8075,U.S. agencies roll out free paper-access policies.,Jeffrey Brainard,2025,v387 n6729 (20250103): 13,2025-01-03,10.1126/science.adv6043
Science,0036-8075,Overwriting an instinct: Visual cortex instructs learning to suppress fear responses,,,,,
Science,0036-8075,Visibly controlling bond breaking,Phil Szuromi,2021,v373 n6558 (20210827): 978.3-979,2021-08-27,10.1126/science.373.6558.978-c
Science,0036-8075,UK science during rapid change.,H Holden Thorp,2023,v380 n6641 (20230414): 115,2023-04-14,10.1126/science.adi2171
Science,0036-8075,Alcohol-alcohol cross-coupling enabled by S H 2 radical sorting,Ruizhe Chen; Nicholas E Intermaggio; Jiaxin Xie; James A Rossi-Ashton; Colin A Gould; Robert T Martin; Jesús Alcázar; David W C MacMillan,2024,v383 n6689 (20240322): 1350-1357,2024-03-22,10.1126/science.adl5890
Science,0036-8075,‘There are so many hurdles.’ Indian scientists plead with government to unlock COVID-19 data,Priyanka Pulla,2021,,,10.1126/science.abj2944
Science,0036-8075,Resetting tropospheric OH and CH4 lifetime with ultraviolet H2O absorption,Michael J Prather; Lei Zhu,2024,v385 n6705 (20240712): 201-204,2024-07-12,10.1126/science.adn0415
Science,0036-8075,‘On the verge of a breakdown.’ Report highlights women academics’ pandemic challenges,Katie Langin,2021,,,10.1126/science.caredit.abh4450
Science,0036-8075,Defining sustainable chemistry-an opportune exercise?,Vânia G Zuin Zeidler,2023,v382 n6667 (20231013): eadk7430,2023-10-13,10.1126/science.adk7430
Science,0036-8075,Embracing my past.,Haili Hu,2023,v379 n6636 (20230310): 1062,2023-03-10,10.1126/science.adh4455
Science,0036-8075,Developmental cell programs are co-opted in inflammatory skin disease,Reynolds G; Vegh P; Fletcher J; Poyner EFM; Stephenson E; Goh I; Botting RA; Olabi B; Dubois A; Dixon D; Green K; Maunder D; Engelbert J; Jardine L; Jones C; Ness T; Horsfall D; McGrath J; Carey C; Popescu D-M; Webb S; Wang X-N; Sayer B; McDonald D; Filby A; Coxhead J; Lisgo S; Rajan N; Haniffa M; Reynolds NJ; Huang N; Efremova M,2021,,,10.1126/science.aba6500
Science,0036-8075,A molecular pore spans the double membrane of the coronavirus replication organelle.,,,,,
Science,0036-8075,Distinct myeloid-derived suppressor cell populations in human glioblastoma.,Christina Jackson; Christopher Cherry; Sadhana Bom; Arbor G Dykema; Rulin Wang; Elizabeth Thompson; Ming Zhang; Runzhe Li; Zhicheng Ji; Wenpin Hou; Wentao Zhan; Hao Zhang; John Choi; Ajay Vaghasia; Landon Hansen; William Wang; Brandon Bergsneider; Kate M Jones; Fausto Rodriguez; Jon Weingart; Calixto-Hope Lucas; Jonathan Powell,2025,v387 n6731 (20250117): eabm5214,2025-01-17,10.1126/science.abm5214
Science,0036-8075,Anomalous fluid flow in quantum systems,Alan Morningstar; Waseem Bakr,2022,v376 n6594 (20220513): 699-700,2022-05-13,10.1126/science.abn6376
Science,0036-8075,Dynamic stabilization of an array,Michael Funk; Ian S Osborne,2021,v371 n6536 (20210326): 1328.6-1329,2021-03-26,10.1126/science.371.6536.1328-f
Science,0036-8075,An autonomously swimming biohybrid fish designed with human cardiac biophysics,K Y Lee,2022,,,
Science,0036-8075,The precursory phase of large earthquakes.,Quentin Bletery; Jean-Mathieu Nocquet,2023,v381 n6655 (20230721): 297-301,2023-07-21,10.1126/science.adg2565
Science,0036-8075,Drug modulation by nuclear condensates,A D Viny; R L Levine,2020,,,
Science,0036-8075,A treaty to break the pandemic cycle.,Alexandra L Phelan; Colin J Carlson,2022,v377 n6605 (20220729): 475-477,2022-07-29,10.1126/science.abq5917
Science,0036-8075,Imaging the onset of the resonance regime in low-energy NO-He collisions,T de Jongh,2020,,,
Science,0036-8075,The Amazon's road to deforestation,Jennifer Sills; Lucas Ferrante; Philip Martin Fearnside,,,,
Science,0036-8075,Quality assurance of hematopoietic stem cells by macrophages determines stem cell clonality,S J Wattrus,2022,,,
Science,0036-8075,Officials gird for a war on vaccine misinformation Fears of a rushed COVID-19 vaccine and rise of social media demand new messaging strategy,W Cornwall,2020,,,
Science,0036-8075,MBD5 and MBD6 couple DNA methylation to gene silencing through the J-domain protein SILENZIO.,Lucia Ichino; Brandon A Boone; Luke Strauskulage; C Jake Harris; Gundeep Kaur; Matthew A Gladstone; Maverick Tan; Suhua Feng; Yasaman Jami-Alahmadi; Sascha H Duttke; James A Wohlschlegel; Xiaodong Cheng; Sy Redding; Steven E Jacobsen,2021,,,10.1126/science.abg6130
Science,0036-8075,High-temperature quantum valley Hall effect with quantized resistance and a topological switch,Ke Huang; Hailong Fu; Kenji Watanabe; Takashi Taniguchi; Jun Zhu,2024,v385 n6709 (20240809): 657-661,2024-08-09,10.1126/science.adj3742
Science,0036-8075,One million (paper) satellites.,Andrew Falle; Ewan Wright; Aaron Boley; Michael Byers,2023,v382 n6667 (20231013): 150-152,2023-10-13,10.1126/science.adi4639
Science,0036-8075,Enzyme function prediction using contrastive learning,Tianhao Yu; Haiyang Cui; Jianan Canal Li; Yunan Luo; Guangde Jiang; Huimin Zhao,2023,v379 n6639 (20230331): 1358-1363,2023-03-31,10.1126/science.adf2465
Science,0036-8075,Beware explanations from AI in health care,Boris Babic; Sara Gerke; Theodoros Evgeniou; I Glenn Cohen,2021,v373 n6552 (20210716): 284-286,2021-07-16,10.1126/science.abg1834
Science,0036-8075,Atmospheric nourishment of global ocean ecosystems,T K Westberry,2023,,,
Science,0036-8075,"Cool it, with a pinch of salt",Emmanuel Defay,2022,v378 n6626 (20221223): 1275,2022-12-23,10.1126/science.adf5114
Science,0036-8075,Toward a Cenozoic history of atmospheric CO2,,,,,
Science,0036-8075,Droplet-based forward genetic screening of astrocyte-microglia cross-talk.,Michael A Wheeler; Iain C Clark; Hong-Gyun Lee; Zhaorong Li; Mathias Linnerbauer; Joseph M Rone; Manon Blain; Camilo Faust Akl; Gavin Piester; Federico Giovannoni; Marc Charabati; Joon-Hyuk Lee; Yoon-Chul Kye; Joshua Choi; Liliana M Sanmarco; Lena Srun; Elizabeth N Chung; Lucas E Flausino; Brian M Andersen; Veit Rothhammer; Hiroshi Yano,2023,v379 n6636 (20230310): 1023-1030,2023-03-10,10.1126/science.abq4822
Science,0036-8075,Metamaterial graphene photodetector with bandwidth exceeding 500 gigahertz.,Stefan M Koepfli; Michael Baumann; Yesim Koyaz; Robin Gadola; Arif Güngör; Killian Keller; Yannik Horst; Shadi Nashashibi; Raphael Schwanninger; Michael Doderer; Elias Passerini; Yuriy Fedoryshyn; Juerg Leuthold,2023,v380 n6650 (20230616): 1169-1174,2023-06-16,10.1126/science.adg8017
Science,0036-8075,Targeting memories to treat trauma.,Philipp Mews,2022,v376 n6589 (20220408): 147,2022-04-08,10.1126/science.abo4234
Science,0036-8075,UV radiation blamed in ancient mass extinction,Paul Voosen,2020,v368 n6494 (20200529): 926,2020-05-29,10.1126/science.368.6494.926
Science,0036-8075,Explosive claim about ancient burials challenged.,Michael Price,2024,v385 n6709 (20240809): 584-585,2024-08-09,10.1126/science.ads2942
Science,0036-8075,When should you end a conversation? Probably sooner than you think,Cathleen O’Grady,2021,,,10.1126/science.abh3217
Science,0036-8075,CAR T cells produced in vivo to treat cardiac injury,Joel G Rurik; István Tombácz; Amir Yadegari; Pedro O Méndez Fernández; Swapnil V Shewale; Li Li; Toru Kimura; Ousamah Younoss Soliman; Tyler E Papp; Ying K Tam; Barbara L Mui; Steven M Albelda; Ellen Puré; Carl H June; Haig Aghajanian; Drew Weissman; Hamideh Parhiz; Jonathan A Epstein,2022,v375 n6576 (20220107): 91-96,2022-01-07,10.1126/science.abm0594
Science,0036-8075,Reference genomes for conservation,S Paez,2022,,,
Science,0036-8075,Retraction,T Sijen,2020,,,
Science,0036-8075,The complete telomere-to-telomere sequence of a mouse genome,,,,,
Science,0036-8075,Brexit deal secures U.K. access to research funds,Nicholas Wallace,2021,v371 n6525 (20210108): 110-111,2021-01-08,10.1126/science.371.6525.110
Science,0036-8075,Glasgow pact leaves 1.5°C goal on life support,Cathleen O’Grady,2021,v374 n6570 (20211119): 920-921,2021-11-19,10.1126/science.acx9654
Science,0036-8075,Finding contributors to allergy control,Williams I,2020,,,10.1126/science.368.6497.1324-t
Science,0036-8075,Structures of a mobile intron retroelement poised to attack its structured DNA target.,Kevin Chung; Ling Xu; Pengxin Chai; Junhui Peng; Swapnil C Devarkar; Anna Marie Pyle,2022,v378 n6620 (20221111): 627-634,2022-11-11,10.1126/science.abq2844
Science,0036-8075,Fluorination of arylboronic esters enabled by bismuth redox catalysis.,Oriol Planas; Feng Wang; Markus Leutzsch; Josep Cornella,2020,v367 n6475 (20200117): 313-317,2020-01-17,10.1126/science.aaz2258
Science,0036-8075,Complex morphologies of biogenic crystals emerge from anisotropic growth of symmetry-related facets.,Emanuel M Avrahami; Lothar Houben; Lior Aram; Assaf Gal,2022,v376 n6590 (20220415): 312-316,2022-04-15,10.1126/science.abm1748
Science,0036-8075,Interrupted-again.,Kathy Gillen,2020,v369 n6505 (20200814): 874,2020-08-14,10.1126/science.369.6505.874
